district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
539,ADILABAD,2,19.6759452,78.5339895,2741239,1369597,1371642,309992,160291,149701
540,NIZAMABAD,2,18.6732693,78.0978477,2551335,1250641,1300694,282417,144977,137440
541,KARIMNAGAR,2,18.4348122,79.1328042,3776269,1880800,1895469,336053,173647,162406
542,MEDAK,2,17.9375095,78.211745,3033288,1523030,1510258,367603,188312,179291
543,HYDERABAD,2,17.360589,78.4740613,3943323,2018575,1924748,469126,245127,223999
544,RANGAREDDY,2,16.9344152,77.7788338,5296741,2701008,2595733,633172,327563,305609
545,MAHBUBNAGAR,2,16.7434538,77.9923191,4053028,2050386,2002642,527230,273914,253316
546,NALGONDA,2,16.8579636,79.2174935,3488809,1759772,1729037,371735,193266,178469
547,WARANGAL,2,17.9820644,79.5970954,3512576,1759281,1753295,341168,177444,163724
548,KHAMMAM,2,17.2465351,80.1500326,2797370,1390988,1406382,281922,143956,137966
549,SRIKAKULAM,2,18.2949307,83.8938844,2703114,1341738,1361376,281037,143835,137202
550,VIZIANAGARAM,2,18.1141255,83.4114389,2344474,1161477,1182997,241657,123300,118357
551,VISAKHAPATNAM,2,17.6935526,83.2921297,4290589,2138910,2151679,452213,230630,221583
552,EAST GODAVARI,2,16.9956639,81.7154378,5154296,2569688,2584608,522054,265244,256810
553,WEST GODAVARI,2,16.6443029,81.5885247,3936966,1964918,1972048,382887,194960,187927
554,KRISHNA,2,16.2129438,81.0283082,4517398,2267375,2250023,435884,225220,210664
555,GUNTUR,2,16.2915189,80.4541588,4887813,2440521,2447292,495729,254833,240896
556,PRAKASAM,2,10.9930561,76.9596779,3397448,1714764,1682684,378261,195753,182508
557,SRI POTTI SRIRAMULU NELLORE,2,14.7174388,79.6605057,2963557,1492974,1470583,304309,156907,147402
558,Y.S.R.,2,18.0681034,-77.842617,2882469,1451777,1430692,331586,172902,158684
559,KURNOOL,2,15.8309251,78.0425373,4053463,2039227,2014236,506239,261217,245022
560,ANANTAPUR,2,14.72422,77.4306738,4081148,2064495,2016653,445956,231369,214587
561,CHITTOOR,2,13.2026484,79.0032253,4174064,2090204,2083860,444572,230283,214289
