hospital_id,hospital_name,address,district_id,pincode,latitude,longitude,mco_contact_number,total_beds,hospital_type
6,"Care Hospital, Banjara","Road No.1, Banjara Hills, Hyderabad, Andhra Pradesh, 500034",543.0,500034.0,17.4274003,78.4311174,"040 30418888, 040 66668888, 040 23234444",,
7,Aasha Hospitals,"7/201, Court Road, Anantapur, Andhra Pradesh, 515001",560.0,515001.0,14.6795736,77.592469,08554    274194,,
8,Abhaya Kidney Care Multispeciality Hospital,"10-470, Adimurthy Nagar, Opposite Guild Off Service School, Anantapur, Andhra Pradesh, 515001",560.0,515001.0,14.72422,77.4306738,277444,,
9,Baby Hospital,"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex, Anantapur, Andhra Pradesh, 515001",560.0,515001.0,14.6818877,77.6005911,0,,
10,Dr Akbar Eye Hospital And Laser Centre,"12-3-234, 6Th Cross Sai Nagar, Anantapur, Andhra Pradesh, 515001",560.0,515001.0,14.6723351,77.6018211,08554    235009,,
11,Dr.Ysr Memorial Hospitals,"#12-2-878, I Cross, Sai Nagar,Near By Sbi Main Branch, Anantapur, Andhra Pradesh, 515001",560.0,515001.0,14.72422,77.4306738,08554  247155,,
12,Hrudaya Children Hospital,"Sai Nagar Iind Cross, Anantapur, Andhra Pradesh, 515001",560.0,515001.0,14.6749908,77.6032432,0,,
13,"Jeevana Jyothi Hospitals Ltd.,","#15-381, Kamala Nagar, Anantapur, Andhra Pradesh, 515001",560.0,515001.0,17.4738037,78.5641765,0,,
14,K K Nursing Home,"Opposite Annapurna Lodge Kamalanagar, Anantapur, Andhra Pradesh, 515001",560.0,515001.0,14.72422,77.4306738,08554  222133,,
15,Meda Nursing Home,"Railway Station Road, Anantapur, Andhra Pradesh, 515001",560.0,515001.0,14.6818877,77.6005911,08554    277562,,
16,Mnr Nursing Home,"12/3-269, Sai Nagar, 6Th Cross, Anantapur, Andhra Pradesh, 515001",560.0,515001.0,14.6723351,77.6018211,0,,
