district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
281,TAWANG,3,-7.3416597,108.2244736,49977,29151,20826,5788,2914,2874
282,WEST KAMENG,3,27.3386269,92.4333662,83947,46155,37792,11643,5900,5743
283,EAST KAMENG,3,27.557781,92.9673843,78690,38775,39915,14626,7311,7315
284,PAPUM PARE,3,27.2863666,93.6187716,176573,89182,87391,25170,12729,12441
285,UPPER SUBANSIRI,3,28.2596054,94.0938106,83448,41758,41690,12475,6332,6143
286,WEST SIANG,3,28.1970922,94.48407,112274,58168,54106,14855,7655,7200
287,EAST SIANG,3,28.0742219,95.4178149,99214,50116,49098,12955,6517,6438
288,UPPER SIANG,3,28.7312046,95.0377315,35320,18699,16621,4988,2563,2425
289,CHANGLANG,3,27.2698797,96.0602442,148226,76948,71278,25869,13075,12794
290,TIRAP,3,27.030169,95.4979175,111975,57604,54371,20045,10223,9822
291,LOWER SUBANSIRI,3,27.5326327,93.7823245,83030,41843,41187,10320,5248,5072
292,KURUNG KUMEY,3,27.9863677,93.1578347,92076,45318,46758,16988,8568,8420
293,DIBANG VALLEY,3,28.8291044,95.9554096,8004,4414,3590,1084,574,510
294,LOWER DIBANG VALLEY,3,28.2149563,95.878774,54080,28053,26027,8009,4112,3897
295,LOHIT,3,28.0350162,96.1713515,145726,76221,69505,23901,12159,11742
296,ANJAW,3,28.1166895,96.8198805,21167,11507,9660,3472,1744,1728
