district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
336,KOKRAJHAR,4,26.4912103,90.1215209,887142,452905,434237,136924,70085,66839
337,DHUBRI,4,26.132275,90.1249962,1949258,997848,951410,368262,187092,181170
338,GOALPARA,4,26.0491877,90.6001859,1008183,513292,494891,171657,87457,84200
339,BARPETA,4,26.345941,91.039708,1693622,867004,826618,287829,146777,141052
340,MORIGAON,4,26.2551482,92.3290878,957423,486651,470772,163819,83746,80073
341,NAGAON,4,26.3313646,92.7524763,2823768,1439112,1384656,459940,234203,225737
342,SONITPUR,4,26.7677707,92.7014089,1924110,983904,940206,277862,141353,136509
343,LAKHIMPUR,4,27.1763356,94.1992932,1042137,529674,512463,156739,80016,76723
344,DHEMAJI,4,27.5945155,94.7192098,686133,351249,334884,104247,53457,50790
345,TINSUKIA,4,27.4879722,95.3601855,1327929,680231,647698,181826,92777,89049
346,DIBRUGARH,4,27.4844597,94.9019447,1326335,676434,649901,163210,83168,80042
347,SIVASAGAR,4,26.9834936,94.6394226,1151050,589216,561834,139380,71102,68278
348,JORHAT,4,26.7577925,94.2079645,1092256,556805,535451,124594,63428,61166
349,GOLAGHAT,4,26.5108262,93.9743686,1066888,543161,523727,134793,68662,66131
350,KARBI ANGLONG,4,26.0,93.5,956313,490167,466146,151681,77428,74253
351,DIMA HASAO,4,25.4003625,93.0752292,214102,110802,103300,32414,16480,15934
352,CACHAR,4,24.75864,92.8816648,1736617,886284,850333,256774,131417,125357
353,KARIMGANJ,4,24.5828195,92.3725486,1228686,625864,602822,211960,107638,104322
354,HAILAKANDI,4,24.6846916,92.5645836,659296,337890,321406,111278,56936,54342
355,BONGAIGAON,4,26.4800126,90.5580387,738804,375818,362986,116392,59099,57293
356,CHIRANG,4,26.6464231,90.624157,482162,244860,237302,73215,37201,36014
357,KAMRUP,4,26.146886,91.2227397,1517542,778461,739081,200061,101716,98345
358,KAMRUP METROPOLITAN,4,26.1352638,91.8616706,1253938,647585,606353,125386,64444,60942
359,NALBARI,4,26.3533631,91.3983662,771639,396006,375633,95333,48458,46875
360,BAKSA,4,45.9595045,18.0950419,950075,481330,468745,122872,62498,60374
361,DARRANG,4,26.4373482,92.0047145,928500,475273,453227,156408,79437,76971
362,UDALGURI,4,26.7047238,92.0421507,831668,421617,410051,113274,57410,55864
