district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
240,PASHCHIM CHAMPARAN,5,27.0,84.5,3935042,2061110,1873932,776031,397418,378613
241,PURBA CHAMPARAN,5,26.583333,84.833333,5099371,2681209,2418162,1018297,526835,491462
242,SHEOHAR,5,26.4934234,85.2717561,656246,346673,309573,128698,66728,61970
243,SITAMARHI,5,26.5942841,85.500428,3423574,1803252,1620322,663227,343555,319672
244,MADHUBANI,5,26.3503076,86.2296424,4487379,2329313,2158066,810479,418616,391863
245,SUPAUL,5,26.2768089,86.7959614,2229076,1155283,1073793,437357,224953,212404
246,ARARIA,5,26.1346459,87.4654062,2811569,1463333,1348236,577886,295315,282571
247,KISHANGANJ,5,26.2984144,87.9466715,1690400,866970,823430,346904,175962,170942
248,PURNIA,5,25.7758723,87.4087667,3264619,1699370,1565249,656510,335955,320555
249,KATIHAR,5,25.5586421,87.6457196,3071029,1600430,1470599,620332,316391,303941
250,MADHEPURA,5,25.7806118,86.9364753,2001762,1047559,954203,404576,209571,195005
251,SAHARSA,5,25.8330757,86.6143751,1900661,997174,903487,387479,200497,186982
