hospital_id,hospital_name,address,district_id,pincode,latitude,longitude,mco_contact_number,total_beds,hospital_type
2620,Postgraduate Institute of Medical Education and Research,"Postgraduate Institute of Medical Education andResearch, Sector-12, Chandigarh, Chandigarh, 160012",91.0,160012.0,30.7334421,76.7797143,0,,
2621,Government Medical College and Hospital,"Sector-32, Chandigarh, Chandigarh, 160030",91.0,160030.0,30.6892033,76.7538467,0,,
2622,Centre For Sight,"S.C.O - 809- 810,\n17G, Sector 22A, Chandigarh, Chandigarh, 160022",91.0,160022.0,-12.0238112,-76.9132212,0,,
2623,Chaitanya Hospital,"Site No.1 and 2, Sector 44-C, Chandigarh, Chandigarh, 160047\n",91.0,160047.0,30.7433088,76.7971802,9988808880,,
2624,Silver Oaks Hospitals,"Phase IX, Sector - 63, SAS Nagar, Mohali, Chandigarh, Chandigarh, 160062",91.0,160062.0,30.6915027,76.7314877,0,,
2625,Chaitanya Hospital,"Hospital Site No 1 & 2 Sector-44-C, Chandigarh, Chandigarh, 160002",91.0,160002.0,18.9651504,72.8334008,0,,
2626,Grewal Eye Institute / Grewal Hospital,"S C O 166-167-168-169 Madhya Marg Sector-9-C, Chandigarh, Chandigarh, 160009",91.0,160009.0,30.732171,76.796313,0,,
2627,Northen Institute Of Neuro Sciences Pvt Ltd,"Sco. 341- 342, Sec- 34, Chandigarh, Chandigarh, 160011",91.0,160011.0,24.8606032,67.0224466,0,,
2628,Rameshwara Hospital / Rameswara Nursing Home Pvt. Ltd.,"# 11, Sector-11A, Chandigarh, Chandigarh, 160011",91.0,160011.0,30.7619248,76.7848655,0,,
2629,Pgi Chandigarh,"Sector-12, Chandigarh, Chandigarh, 160012",91.0,160012.0,30.7610543,76.7755801,0,,
2630,Santokh Nursing Home,"# 846 Sector 38-A  / Santokhhospital@Hotmail.Com, Chandigarh, Chandigarh, 160014",91.0,160014.0,30.7334421,76.7797143,0,,
2631,Abhilasha Hospital,"Koti No. 201, Sector 35- A, Chandigarh, Chandigarh, 160015",91.0,160015.0,26.266905,73.0022568,0,,
2632,Dharam Hospital,"H.No.2040, Sector-15-C, Chandigarh, Chandigarh, 160015",91.0,160015.0,19.0809074,73.000498,0,,
2633,Dhavan's Jeevan Deep Liver Gastro And Endoscopy Centre,"H No 88, Sector 16 A, Chandigarh, Chandigarh, 160015",91.0,160015.0,30.749886,76.777604,0,,
2634,Chhuttani Medical Center,"Sco 52, 53, 54, Sec 17 C , -Sec 17 C, Chandigarh, Chandigarh, 160017",91.0,160017.0,30.7334421,76.7797143,0,,
