district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
436,KORIYA,6,23.476254,82.4776374,658917,334737,324180,95784,48666,47118
437,SURGUJA,6,22.9469135,83.1656942,2359886,1193129,1166757,380445,193952,186493
438,JASHPUR ,6,22.770251,83.9708013,851669,424747,426922,122266,61744,60522
439,RAIGARH,6,22.2361795,83.3529534,1493984,750278,743706,195069,100204,94865
440,KORBA ,6,22.5198217,82.6350029,1206640,612915,593725,172016,87487,84529
441,JANJGIR - CHAMPA,6,21.986403,82.5536606,1619707,815717,803990,224218,114957,109261
442,BILASPUR,6,22.1638486,82.1365923,2663629,1351574,1312055,407835,207995,199840
443,KABEERDHAM,6,,,822526,412058,410468,141904,71571,70333
444,RAJNANDGAON,6,21.0684424,80.7970779,1537133,762855,774278,209575,105508,104067
445,DURG,6,21.1982964,81.4007922,3343872,1682101,1661771,430536,219341,211195
446,RAIPUR,6,21.2380912,81.6336993,4063872,2048186,2015686,583382,296441,286941
447,MAHASAMUND,6,21.1922846,82.4890263,1032754,511967,520787,134448,68207,66241
448,DHAMTARI ,6,20.5326259,81.7155987,799781,397897,401884,101909,51652,50257
449,UTTAR BASTAR KANKER,6,20.1286893,80.98453,748941,373338,375603,100099,50598,49501
450,BASTAR,6,19.1191282,81.8291865,1413199,698487,714712,216713,108662,108051
451,NARAYANPUR,6,19.5842032,81.1136986,139820,70104,69716,23358,11744,11614
452,DAKSHIN BASTAR DANTEWADA,6,,,533638,264142,269496,79637,39718,39919
453,BIJAPUR,6,18.7935679,80.815939,255230,128663,126567,42495,21488,21007
