district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
252,MUZAFFARPUR,7,26.1482548,85.3316097,4801062,2527497,2273565,845335,441339,403996
253,GOPALGANJ,7,26.4211166,84.3739133,2562012,1267666,1294346,449530,230014,219516
254,SIWAN,7,26.131008,84.3910745,3330464,1675090,1655374,551418,284188,267230
255,SARAN,7,47.9514553,1.8749906,3951862,2022821,1929041,681142,353738,327404
256,VAISHALI,7,25.7491702,85.3972164,3495021,1844535,1650486,601893,316129,285764
257,SAMASTIPUR,7,25.7747884,85.8672314,4261566,2230003,2031563,797381,414586,382795
258,BEGUSARAI,7,25.5125411,86.0883392,2970541,1567660,1402881,545965,284517,261448
259,KHAGARIA,7,25.4930513,86.6982264,1666886,883786,783100,340880,177007,163873
260,BHAGALPUR,7,25.2861354,87.1304229,3037766,1615663,1422103,546382,281937,264445
261,BANKA,7,24.8328273,86.8161114,2034763,1067140,967623,375282,193179,182103
262,MUNGER,7,25.2202864,86.5161484,1367765,729041,638724,229860,119611,110249
263,LAKHISARAI,7,25.1543938,86.1744959,1000912,526345,474567,188214,98050,90164
264,SHEIKHPURA,7,25.1250741,85.8160771,636342,329743,306599,121647,62710,58937
265,NALANDA,7,25.1364914,85.4436546,2877653,1497060,1380593,518681,268660,250021
266,PATNA,7,25.6093239,85.1235252,5838465,3078512,2759953,943552,494228,449324
267,BHOJPUR,7,25.4501182,84.5635193,2728407,1430380,1298027,459187,239364,219823
268,BUXAR,7,25.5044834,84.1097525,1706352,887977,818375,295127,152626,142501
269,KAIMUR (BHABUA),7,25.0763482,83.6335978,1626384,847006,779378,299281,154105,145176
270,ROHTAS,7,24.9394142,84.0197031,2959918,1543546,1416372,506810,262474,244336
271,AURANGABAD,7,19.877263,75.3390241,2540073,1318684,1221389,455394,234256,221138
272,GAYA,7,24.679389,85.0115833,4391418,2266566,2124852,783059,399426,383633
273,NAWADA,7,24.8173249,85.5179085,2219146,1144668,1074478,393547,202310,191237
274,JAMUI,7,24.7562513,86.3011128,1760405,916064,844341,324513,165945,158568
275,JEHANABAD ,7,25.1529578,85.0065043,1125313,585582,539731,198785,103452,95333
276,ARWAL,7,25.1812831,84.6596648,700843,363497,337346,127841,65910,61931
648,DARBHANGA,7,26.1542,85.8918,3937385,2059949,1877436,725482,375682,349800
