district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
126,NCT OF DELHI,8,28.6333255,77.2244838,16787941,8987326,7800615,2012454,1075440,937014
127,NORTH WEST,8,28.71,77.06,3656539,1960922,1695617,449894,241169,208725
128,NORTH,8,28.74,77.14,887978,475002,412976,103304,55155,48149
129,NORTH EAST,8,28.72,77.26,2241624,1188425,1053199,301947,160583,141364
130,EAST,8,28.63,77.3,1709346,907500,801846,194357,103902,90455
131,NEW DELHI,8,28.6419258,77.2217499,142004,77942,64062,12760,6738,6022
132,CENTRAL,8,28.61,77.23,582320,307821,274499,62739,32928,29811
133,WEST,8,28.66,77.06,2543243,1356240,1187003,288421,154088,134333
134,SOUTH WEST,8,28.61,76.98,2292958,1246046,1046912,267989,145285,122704
135,SOUTH,8,28.49,77.18,2731929,1467428,1264501,331043,175592,155451
