hospital_id,hospital_name,address,district_id,pincode,latitude,longitude,mco_contact_number,total_beds,hospital_type
32049,Aastha Ayurvedic Clinic,"C10/27 Sector 15 Rohini Delhi (near manav chowk), North West Delhi, Delhi, 110086",127.0,110086.0,28.733938,77.131976,,,
32050,Acharyaashree Bhikshu Hospital,"Moti Nagar, West Delhi, Delhi, 110015",133.0,110015.0,28.662001,77.140252,"011 25423011, 011 25101552, 011 25423514",,
32051,Action Cancer Hospital,"A - 4, Paschim Vihar, West Delhi, Delhi, 110063",133.0,110063.0,28.673901,77.111307,011 49222220,,
32052,Aditya Verma Medical Centre,"32 Chitra Vihar, Vikas Marg,Behind Laxmi Nagar, East Delhi, Delhi, 110092",130.0,110092.0,28.637585,77.290999,"011 22448008 , 011 22043893",,
32053,AIIMS,"Ansari Nagar, Aurobindo Marg, South West delhi, Delhi, 110029",134.0,110029.0,28.566678,77.209089,"011 26588500, 011 26588700, 011 26589900",,
32054,Apex City Hospital,"Hanuman Road, D-Block, West Vinod Nagar, Near Mayur Vihar and Parparganj mother dairy, IP Extension, East Delhi, Delhi, 110091",130.0,110091.0,28.619373,77.302082,"011 22472111, 011 22473111",,
32055,Aruna Asaf Ali Government Hospital,"5, Rajpur Road, Civil Lines, North Delhi, Delhi, 110054",128.0,110054.0,28.670103,77.217775,"011 23965532, 011 23831524",,
32056,Ayurveda Kendra,"B - 5/99 and 100 Safdarjung Enclave, Near R.K.Khanna Tennis Stadium, South West delhi, Delhi, 110029",134.0,110029.0,28.561031,77.189004,"011 26181606, 011 26182022,011 41652897, 011 41652898",,
32057,Ayushman Hospital,"Plot Number-2, Sector-12, Dwarka, South West delhi, Delhi, 110075",134.0,110075.0,28.596592,77.049286,"011 42811114 , 011 42811115 , 011 42811116 , 011 42811117,011 42811118",,
32058,B M Gupta Private Hospital,"H-11/12/14/15, Uttam Naga, West Delhi, Delhi, 110059",133.0,110059.0,28.619424,77.061474,011 47157777,,
32059,Baba Saheb Ambedkar Hospital,"Bhagawan Mahavir MargSector 6, Rohini, North Delhi, Delhi, 110085",128.0,110085.0,28.714798,77.113628,"011 27055585, 011 27933256",,
32060,Babu Jagjivan Ram Memorial Hospital,"E Block,Bhalswa Jahangirpuri, North West Delhi, Delhi, 110033",128.0,110033.0,28.734927,77.172541,"011 27634636, 011 27636955, 011 27631810, Extension- 308",,
32061,Banarasi Dass Chandi Wala Eye Institute,"Chandiwal Estate, MAA Anandmai Marg, Kalkaji, South Delhi, Delhi, 110019",135.0,110019.0,28.4851694,77.1963652,"011 49020100, 011 49020133",,
32062,BensupsHospital,"Bensups Avenue, Sector 12, Dwarka, South West Delhi, Delhi, 110075",134.0,110075.0,28.592877,77.04423,011 45550000,,
