hospital_id,hospital_name,address,district_id,pincode,latitude,longitude,mco_contact_number,total_beds,hospital_type
3125,Aproopa Nursing Home,"Shreedar Estate,OppositeAmil Dena Bank Near Fire Station Piperia, Vapi Main Road, Dadra and Nagar Haveli, Dadra and Nagar Haveli, 396230",532.0,396230.0,20.2733946,73.0044983,0,,
3126,Chaitanya Hospital,"Kilvani Naka Umarkul Road, Dadra and Nagar Haveli, Dadra and Nagar Haveli, 396230",532.0,396230.0,20.2733946,73.0044983,0,,
3127,Darshan Eye Hospital,"Solanki Complex Opp Town Hall, Dadra and Nagar Haveli, Dadra and Nagar Haveli, 396230",532.0,396230.0,20.2733946,73.0044983,"0260    2643465, 264215",,
3128,Dr.Nikams Sri Sai Marigold Child Care Hospital and N I C U,"Daffodil Blg, Iti Road, Amli Juction,Nr. Sai Mandir, Dadra and Nagar Haveli, Dadra and Nagar Haveli, 396230",532.0,396230.0,20.2733946,73.0044983,0,,
3129,Hari Om Hospital,"Naroli Road, Near D C Bank, OppositeHotel Natraj, Dadra and Nagar Haveli, Dadra and Nagar Haveli, 396230",532.0,396230.0,38.9071923,-77.0368707,0,,
3130,"Haria Rotary Hospital, Silvasa","1St Floor, Bhumika City Center, M. G. Road, Near Jain Temple, Dadra and Nagar Haveli, Dadra and Nagar Haveli, 396230",532.0,396230.0,20.2733946,73.0044983,0,,
3131,Marigold Child Care Hospital and Nicu,"Daffodil Building, Iti Road, Amli Junction, Near Sai Mandir, Amli, Dadra and Nagar Haveli, Dadra and Nagar Haveli, 396230",532.0,396230.0,20.2733946,73.0044983,0,,
3132,Mukta General Hospital and Maternity Home,"Behind Primary School, Zanda Chowk, Dadra and Nagar Haveli, Dadra and Nagar Haveli, 396230",532.0,396230.0,20.2733946,73.0044983,0,,
3133,Om Saikrupa Clinic,"Shop No 10, Balaji Tower, Opp Tiruypati Temple, Amli, Dadra and Nagar Haveli, Dadra and Nagar Haveli, 396230",532.0,396230.0,20.2733946,73.0044983,0,,
3134,Prayosha Hospital,"1St Floor, Shree Rangkrupa, Opposite English School, P.W.D. Road, Dadra and Nagar Haveli, Dadra and Nagar Haveli, 396230",532.0,396230.0,20.2733946,73.0044983,0,,
3135,Sai Krishhna Maternity Home,"Opp Sbi, Near Adiwasi Bhavan, Tokarkhada, Dadra and Nagar Haveli, Dadra and Nagar Haveli, 396230",532.0,396230.0,20.2733946,73.0044983,0,,
3136,Shree Sai Hospital,"Near S T Depot Ashirwad Building Tokarkhada, Dadra and Nagar Haveli, Dadra and Nagar Haveli, 396230",532.0,396230.0,20.2733946,73.0044983,0,,
3137,Shree Sainath Hospital,"1St Floor, Perin Complex,Opposite Bal Bhavan Kilvani Naka, Dadra and Nagar Haveli, Dadra and Nagar Haveli, 396230",532.0,396230.0,20.2733946,73.0044983,0,,
3138,Shri Shreeji Hospital - Silvassa,"Bhumika City Centre, M G Road, Near Jain Temple, Dadra and Nagar Haveli, Dadra and Nagar Haveli, 396230",532.0,396230.0,20.2733946,73.0044983,0,,
3139,Smt. Ramaben Maternity and General Hospital,"1St Floor, Bhumica City Center, M.G.Road, Near Jain Temple, Dadra and Nagar Haveli, Dadra and Nagar Haveli, 396230",532.0,396230.0,20.1808672,73.0169135,0,,
3140,Vardhaman Hospital,"Opposite Development Credit Bank, Naroli Road, Dadra and Nagar Haveli, Dadra and Nagar Haveli, 396230",532.0,396230.0,20.2733946,73.0044983,0,,
3141,Yogi Hospital,"Kilvani Road, Amli, Dadra and Nagar Haveli, Dadra and Nagar Haveli, 396230",532.0,396230.0,20.2909881,73.0228173,0,,
3142,Shri Vinoba Bhave Civil Hospital,"U.T.of Dadra and Nagar Haveli, Silvassa, Shri Vinoba Bhave Civil Hospital, Dadra and Nagar Haveli, Dadra and Nagar Haveli, 396230",532.0,396230.0,39.3209801,-111.0937311,0,,
3143,Ashok Hospital,"Tin Batti, Daman, Daman and Diu, 396210",531.0,396210.0,20.4222709,72.8301306,0,,
3144,Life Care Multispeciality Hospital,"Life Care Marg, Behind Sarvajanik School, Near Dhobi Talav, Khariwad, Daman, Daman and Diu, 396210",531.0,396210.0,20.418249,72.8456149,0,,
3145,Atmaram Jog Memorial Hospital,"Duntha road, damandaman union territory, Daman, Daman and Diu, 369210",531.0,369210.0,20.4169701,72.833173,0,,
3146,"Government Hospital, Daman","Fort Area, Community Health\nCenter, Moti Daman, Daman, Daman and Diu, 396220",531.0,396220.0,20.4080193,72.8343123,0,,
3147,Hansa clinic and hospital,"Main road, Dabhel, Nani damandaman, Daman, Daman and Diu, 396115",531.0,396115.0,20.4110465,72.8917256,0,,
5003,"Eye-Q Super Speciality Eye Hospitals, Bharuch","1st floor, Modi Compund, Paanch batti, Bharuch, Gujarat, 392001",524.0,392001.0,21.7051358,72.9958748,0,,
5004,"Centre For Sight, Bharuch","GS-18, Brund Complex, Residence Plaza, OppositeGEB Office, Maktampur Road, Bharuch, Gujarat, 392001",524.0,392001.0,21.7092223,73.0156094,0,,
5005,Pandit Deendayal Upadhyay Medical College (P.D.U Medical College),"Civil Hospital Campus, Jamnagar Road, Rajkot, Gujarat, 360001",512.0,360001.0,22.3144697,70.7905408,0,,
5006,"Centre For Sight, Rajkot","203, Embassy Building, OppositeJubilee Baug, Rajkot, Gujarat, 360001",512.0,360001.0,22.3038945,70.8021599,0,,
5007,"Centre For Sight, Surat","3rd Floor, Samir Appts, Muktanand Nagar Complex, Surat, Gujarat, 395003",528.0,395003.0,21.1702401,72.8310607,0,,
5008,Kesarl Sal Medical College and Research Institute,"OppositeScience City, Daskroi Taluka, Bhadaj, Ahmedabad, Gujarat, 380060",510.0,380060.0,23.0867539,72.4838768,0,,
5009,B.J. Medical College,"B.J.Medical College, New Civil Hospital, Asarwa, Ahmedabad, Gujarat, 380016",510.0,380016.0,23.0451653,72.6073159,0,,
5010,Smt.NHL Municipal Medical College,"Ellis Bridge, Ahmedabad, Gujarat, 380006",510.0,380006.0,23.0262331,72.5623124,0,,
5011,Ahmedabad Homeopathy Medical College,"Bopal-Ghuma Road, Ghuma, Daskroi, Ahmedabad, Gujarat, 380058",510.0,380058.0,23.0082573,72.4421658,0,,
5012,GMERS Medical College,"GMERS Medical Collage, Sola, SG Highway, Ahmedabad, Gujarat, 380054",510.0,380054.0,23.022505,72.5713621,0,,
5013,Pulse Women's Hospital,"108, Swastik Society, B/H St Xavier's Ladies Hostel, Navrangpura, Ahmedabad, Gujarat, 380009",510.0,380009.0,23.0365437,72.5611395,0,,
5014,"Centre For Sight, Ahmedabad","101, White Cross, 15, Patel Society, Gulbai Tekra, Ahmedabad, Gujarat, 380009",510.0,380009.0,23.0271349,72.5515384,0,,
5015,College of Dental Sciences and Research,"College of Dental Sciences and ResearchCentre, OppositePleasure Club, Near Bhopal, Manipur Ta.Sanand, Ahmedabad, Gujarat, 382115",510.0,382115.0,23.0215374,72.5800568,0,,
5016,Hemato Oncology Clinic Pvt.Ltd.,"Vedanta Institute of Medical Sciences 1st Floor, Stadium Commerce Collage Road, Navrangpura, Ahmedabad, Gujarat, 380009",510.0,380009.0,23.0365437,72.5611395,0,,
5017,Aarna Super Speciality Hospital,"Opposite Suvidha Shopping Centre, Near Parimal Under Bridge, Ahmedabad, Gujarat, 380007",510.0,380007.0,23.0215374,72.5800568,0,,
5018,"Dhwani General Hospital, Nursing Home and Materity Home","28, New Kamlesh Society, Arbudanagar Road, Odhav, Ahmedabad, Gujarat, 382415",510.0,382415.0,23.0100698,72.6450387,0,,
5019,Aalok Orthocare Super Speciality Center,"8, Vidyavihar Colony, Ashram Road, Opposite Hotel Fortune Landmark, Usmanpura, Ahmedabad, Gujarat, 380013",510.0,380013.0,23.0215374,72.5800568,0,,
5020,Motherhood Womens and Child Care Hospital,"Sarjen Arcade, Beside Satyam Complex, Science city road, Ahmedabad, Gujarat, 380060",510.0,380060.0,23.0215374,72.5800568,0,,
5021,Karnavati Super Speciality Hospital,"Opp Saijpur Tower, Saijpur Bogha, Naroda Road, Ahmedabad, Gujarat, 382345",510.0,382345.0,23.0215374,72.5800568,0,,
5022,Life Care Emergency Centre,"Near.Jain Derasar, Borsalli Appartment Road, Nr.Cama Hotel, Khanpur, Ahmedabad, Gujarat, 380001",510.0,380001.0,28.6491211,70.6514213,0,,
5023,Panchshil Hospital,"Nr.Sabarmati Police Station Highway, Ramnagar, Sabarmati, Ahmedabad, Gujarat, 380005",510.0,380005.0,23.0215374,72.5800568,0,,
5024,Parekhs Hospital Pvt.Ltd,"132, Feet Ring Road, Shyamal Cross Road, Satellite, Ahmedabad, Gujarat, 380015",510.0,380015.0,23.0141755,72.5316915,0,,
5025,Aims Hospital,"Nr Jethabhai Park, Shantivan, Narayan Nagar Road, Paldi, Ahmedabad, Gujarat, 380007",510.0,380007.0,22.9995425,72.5566256,0,,
5026,Sanjivani Super Speciality Hospital,"1, Uday Park Society, Near Sunrise Park, Vastrapur, Ahmedabad, Gujarat, 380015",510.0,380015.0,23.0215374,72.5800568,0,,
5027,Government Spine Institute,"Civil Hospital Campus, Asarwa, Ahmedabad, Gujarat, 380016",510.0,380016.0,23.0215374,72.5800568,0,,
5028,BBAPS Yogiji Maharaj Hospital,"Pramukh Vatika, Shahibaug, BAPS Shri Swaminarayan Mandir, Ahmedabad, Gujarat, 380004",510.0,380004.0,23.0215374,72.5800568,0,,
5029,Columbia Asia Hospital,"Plot No-221/222, Hebatpur Road, Thaltej, Off S.L.Highway, Ahmedabad, Gujarat, 380059",510.0,380059.0,23.0215374,72.5800568,0,,
5030,Apollo Hospital International Ltd.,"Plot No.1 A, Bhat GIDC Estate, Ahmedabad, Gujarat, 382428",510.0,382428.0,23.0215374,72.5800568,0,,
5031,Institute of Kidney Diseases Research Centre,"Civil Hospital Campus, Asarwa, Ahmedabad, Gujarat, 380016",510.0,380016.0,23.0215374,72.5800568,0,,
5032,Civil Hospital,"D block, Office of the Medical Superintendent Civil Hospital,\nAsarwa, Ahmedabad, Gujarat, 380016",510.0,380016.0,23.0215374,72.5800568,0,,
5033,Aadya Eye and Ent Hospital,"Janta Chambers , Behind Anad Surgical Hospital, Saijpur Tower, Naroda Road, Ahmedabad, Gujarat, 380001",510.0,380001.0,23.0215374,72.5800568,0,,
5034,Aashu Dental Multispeciality Polyclinic,"Dr K.K Bungalow,Behind Navrangpura Post Office,Navrangpura, Ahmedabad, Gujarat, 380001",510.0,380001.0,22.9946755,72.5282434,0,,
5035,Abc Dental Clinic andHospital,,510.0,380001.0,23.022505,72.5713621,0,,
5036,Adarsh Hospital,"14, Vadigam Society, Opposite Nemsnath Society, Ahmedabad, Gujarat, 380001",510.0,380001.0,23.0215374,72.5800568,0,,
5037,All Well Mukim Medical Nursing Home,"235,Platinum Plaza,Nr Ioc Petrol Pump, Ahmedabad, Gujarat, 380001",510.0,380001.0,23.0215374,72.5800568,0,,
5038,Amijeet Maternity Hospital,"A/4, Shantaram Complex, Nr Nirnaynagar Garnala, Nirnaynagar, Ahmedabad, Gujarat, 380001",510.0,380001.0,23.0215374,72.5800568,0,,
5039,Amin Children Hospital And Neonatal Care Centre,"2Nd Floor, Shalimar Complex, Mahalaxmi Panch Rasta, Ahmedabad, Gujarat, 380001",510.0,380001.0,23.0215374,72.5800568,0,,
5040,Amrut Arogyadham Medical Hospital,"Laxmikrupa Society Nr. Shiv Shakti Bus Stop, Chandkheda, Ahmedabad, Gujarat, 380001",510.0,380001.0,23.1115671,72.5727621,0,,
5041,Asha Orthoscopi Center,"Ahemdabad, Ahmedabad, Gujarat, 380001",510.0,380001.0,23.022505,72.5713621,0,,
5042,Ashadeep Polyclinic and Nursing Home,"5/C/28, Vivekanand Nagar, Near Hathijan , Hathijan, Ahmedabad, Gujarat, 380001",510.0,380001.0,23.0215374,72.5800568,0,,
5043,Ashray Clinic,,510.0,380001.0,23.022505,72.5713621,0,,
5044,Asian Institute Of Gastroenterology Surgery,"Navrangpura, Ahmedabad, Gujarat, 380001",510.0,380001.0,23.0365437,72.5611395,0,,
5045,Chirag Hospital,"1-2 Vrajmadhu Ri Flats, H/H On Bank Of India Near Old Vadaj Bus Terminus, Ahmedabad, Gujarat, 380001",510.0,380001.0,23.0602149,72.5766759,0,,
5046,Civil Hospital,"Asarwa, Ahmedabad, Gujarat, 380001",510.0,380001.0,23.0494136,72.6027042,0,,
5047,Deep Urosurgical Hospital -Pvt Ltd,"Aabhushan Complex,2Nd Floor,Near Golden Triangal,Sardar Patel Stadium Road, Ahmedabad, Gujarat, 380001",510.0,380001.0,23.0215374,72.5800568,0,,
5048,Devansh Eye Clinic,"15-16, Third Floor, Shukan Ma, Nr Rajasthan Hospital, Shahibaug, Ahmedabad, Gujarat, 380001",510.0,380001.0,23.0215374,72.5800568,0,,
5049,Dhruv Health Care,"59, Rajeshwari Society, Nr. Shiv Chamber, C.T.M. Rasta, N.H. No. 8, Amraiwadi, Ahmedabad, Gujarat, 380001",510.0,380001.0,23.0215374,72.5800568,0,,
