district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
105,PANCHKULA,11,30.6975401,76.8551066,561293,299679,261614,66302,35583,30719
106,AMBALA,11,30.3843674,76.770421,1128350,598703,529647,127689,70541,57148
107,YAMUNANAGAR,11,30.1231349,77.286329,1214205,646718,567487,146789,80393,66396
108,KURUKSHETRA,11,29.9693747,76.8482787,964655,510976,453679,116957,64320,52637
109,KAITHAL,11,29.7996588,76.3989903,1074304,571003,503301,139393,76258,63135
110,KARNAL,11,29.7255766,76.9106924,1505324,797712,707612,196610,107797,88813
111,PANIPAT,11,29.3912753,76.9771675,1205437,646857,558580,169662,92380,77282
112,SONIPAT,11,28.9953758,77.0233627,1450001,781299,668702,188262,104693,83569
113,JIND,11,29.3152073,76.314082,1334152,713006,621146,168554,91710,76844
114,FATEHABAD,11,29.5359209,75.5752901,942011,495360,446651,121024,65279,55745
115,SIRSA,11,29.6063041,74.9036568,1295189,682582,612607,157667,84684,72983
116,HISAR,11,29.2396596,75.8174505,1743931,931562,812369,215167,116229,98938
117,BHIWANI,11,28.7931703,76.1391283,1634445,866672,767773,212011,115756,96255
118,ROHTAK,11,28.9010899,76.5801935,1061204,568479,492725,129330,71041,58289
119,JHAJJAR,11,28.5964461,76.6505366,958405,514667,443738,120051,67380,52671
120,MAHENDRAGARH,11,28.132697,76.1697448,922088,486665,435423,111181,62638,48543
121,REWARI,11,28.1956468,76.6165179,900332,474335,425997,113893,63743,50150
122,GURGAON,11,28.4646148,77.0299194,1514432,816690,697742,202602,110705,91897
123,MEWAT ,11,27.9935177,77.0419634,1089263,571162,518101,248128,130168,117960
124,FARIDABAD,11,28.4031478,77.3105561,1809733,966110,843623,251955,136679,115276
125,PALWAL ,11,28.0599426,77.3223422,1042708,554497,488211,177494,95132,82362
