hospital_id,hospital_name,address,district_id,pincode,latitude,longitude,mco_contact_number,total_beds,hospital_type
8810,Bhagwan Mahavir Hospital and Research Centre,"Jain Bhawan, A-3, Central Green, N.I.T., Faridabad, Haryana, 121001",124.0,121001.0,28.4031478,77.3105561,0,,
8811,Aarvy Hospital,"530/18, Opp Nehru Stadium, Civil Lines, Gurgaon, Haryana, 122001",122.0,122001.0,28.4646148,77.0299194,0,,
8812,"CGHS Dispensary, Gurgaon","482/16, Civil Lines, Gurgaon, Haryana, 0",122.0,0.0,28.4576161,77.0287188,0,,
8813,Aashirwad Nursing Home,"259, Mahesh Nagar, Ambala Cantt, Ambala, Haryana, 133001",106.0,133001.0,30.3401062,76.867772,0,,
8814,Abhenil Hospital,"Gobind Nagar, Ambalacantt, Ambala, Haryana, 133001",106.0,133001.0,30.3335638,76.8591235,0,,
8815,Aneja Hospital and Nursing Home,"# 48, Mahesh Nagar , Babyal Road,Ambala Cantt, Ambala, Haryana, 133001",106.0,133001.0,30.3463249,76.8660555,0,,
8816,Arya Bhushan Maternity and Nursing Home,"Gobind Nagar,Jagadri Road,Ambala Cantt, Ambala, Haryana, 133001",106.0,133001.0,30.3843674,76.770421,0,,
8817,Ashutosh Mission Hospital,"(An - Iso 2008 Certified Hospital) 33-34, New Colony, Opposite Industrial Area, Jagadhri Road, Ambala, Haryana, 133001",106.0,133001.0,30.3843674,76.770421,0,,
8818,C . Lall Hospital / C.Lal Hospital,"6260/18, Nishat Cinema Road, Ambala, Haryana, 133001",106.0,133001.0,28.4102309,70.3096613,0,,
8819,Civil Hospital,"Principal Medical Officier, General Hospital, Ambala City, Near Polytechnic Chowk, Ambala, Haryana, 133001",106.0,133001.0,30.3843674,76.770421,0,,
8820,Dev Eye Hospital,"Jagadhri Road, Near S D College Ambala Cantt, Ambala, Haryana, 133001",106.0,133001.0,30.1680858,77.2969204,0,,
8821,Dhamija Hospital,"Sadar Bazar ,Ambala Cantt, Ambala, Haryana, 133001",106.0,133001.0,30.3336585,76.8461496,0,,
8822,Dhawan Orthopadicand Fracture Hospital,"513, Arya Nagar, Jagadhri Road, Ambala, Haryana, 133001",106.0,133001.0,30.3365412,76.8672924,0,,
8823,Dr. Milkhi Ram Eye and Maternity Hospital,"Sadar Bazar Ambala Cantt, Ambala, Haryana, 133001",106.0,133001.0,30.3336585,76.8461496,0,,
8824,Garg Eye Hospital,"Mahesh Nagar, Ambala Cantt, Ambala, Haryana, 133001",106.0,133001.0,30.3401062,76.867772,0,,
8825,Gupta Hospital,"Mahesh Nagar, Ambala Cantt., Ambala, Haryana, 133001",106.0,133001.0,30.3401062,76.867772,0,,
8826,J P Hospital,"Civil Hospital Road , Near Polytechnic Ambala City, Ambala, Haryana, 133001",106.0,133001.0,30.3829293,76.7790451,0,,
8827,K D Hospital and C T Scan,"Mahesh Nagar, Jagadhari Road, Ambala, Haryana, 133001",106.0,133001.0,30.337159,76.8646785,0,,
8828,Khuranas Hospital,"Nichoison Road,Ambala Cantt., Ambala, Haryana, 133001",106.0,133001.0,30.34215,76.8432635,0,,
8829,Krishnan Nursing Home,"38-B,Gobind Nagar,Gulati Road,Adjoining Mahesh Nagar Bus Stand, Ambala, Haryana, 133001",106.0,133001.0,30.3843674,76.770421,0,,
8830,Loomba Maternity and E.N.T. Hospital,"Alexandria Road, Supply Chowk, Ambala Cantt., Ambala, Haryana, 133001",106.0,133001.0,38.8048355,-77.0469214,0,,
8831,M K Surgical Hospital,"568, Treasury Road, Ambala, Haryana, 133001",106.0,133001.0,30.3781788,76.7766974,0,,
8832,M. K. Datta Hospital / M.K.Dutta Hospital,"Cross Road No. 1, Ambala Cantt., Nr. S.D. Mandir, Ambala, Haryana, 133001",106.0,133001.0,30.3843674,76.770421,0,,
8833,Manocha Eye Hospital,"Nh-65, Ambala Cantt, Ambala, Haryana, 133001",106.0,133001.0,30.3610314,76.8485468,0,,
8834,Mittal Nursing Home,"Nicholson Road, Near Supply Depot Chowk Ambala Cantt., Ambala, Haryana, 133001",106.0,133001.0,30.3843674,76.770421,0,,
8835,Mk Datta Hospital,"3695/17, Cross Road, Ambala Cant, Ambala, Haryana, 133001",106.0,133001.0,30.3339584,76.8381251,0,,
8836,Monga Hospital And Stone Centre,"Mahesh Nagar, Jagadhari Road, Ambala Cantt, Ambala, Haryana, 133001",106.0,133001.0,30.3370956,76.8645804,0,,
8837,Nandra Hospital,"Opposite Municipal Committee Office , Ambala Cantt, Ambala, Haryana, 133001",106.0,133001.0,30.3843674,76.770421,0,,
8838,Nandra Hospital,"Parshu Ram Chowk,Opposite Sivil Hospital,Jagadhri Road., Ambala, Haryana, 133001",106.0,133001.0,30.3843674,76.770421,0,,
8839,Rotary  Cancer and General Hospital,"Gushera Ground, Ram Bag, Ambala Cantt, Ambala, Haryana, 133001",106.0,133001.0,30.3843674,76.770421,0,,
8840,Sabharwal Children Hospital,"Police Line Crossing Ambala City, Ambala, Haryana, 133001",106.0,133001.0,30.3788345,76.7848749,0,,
8841,Shanti Devi Nursing Home,"Hanuman Mandir, Near Police Chowk, D.C. Road, Ambala Cantt, Ambala, Haryana, 133001",106.0,133001.0,30.3843674,76.770421,0,,
8842,Sharma Eye,"Jagadhri Road, Ambala Cantt, Ambala, Haryana, 133001",106.0,133001.0,30.3494594,76.8328363,0,,
8843,Sneha Children Hospital,"Taneja Road, OppositeK.D Hospital , Mahesh Nagar,Ambala Cantt, Ambala, Haryana, 133001",106.0,133001.0,30.3843674,76.770421,0,,
8844,Srl Ranbaxy,"Shop No.1 ,Gagan Plaza Complex ,Hotel Sukh Sagar ,Nicholson Road , Ambala Cantt, Ambala, Haryana, 133001",106.0,133001.0,30.3843674,76.770421,0,,
