district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
59,CHAMBA,12,32.6923316,76.1631552,519080,261320,257760,70359,36024,34335
60,KANGRA,12,32.0768665,76.2985872,1510075,750591,759484,164607,87741,76866
61,LAHUL & SPITI,12,32.6192,77.3784,31564,16588,14976,3125,1537,1588
62,KULLU,12,31.9578974,77.1089232,437903,225452,212451,50431,25707,24724
63,MANDI,12,31.6516617,77.0092542,999777,498065,501712,112074,58486,53588
64,HAMIRPUR,12,25.75,80.0,454768,217070,237698,48548,25722,22826
65,UNA,12,44.9830709,16.2475717,521173,263692,257481,59231,31591,27640
66,BILASPUR,12,22.1638486,82.1365923,381956,192764,189192,41956,22084,19872
67,SOLAN,12,42.9431682,1.6950613,580320,308754,271566,68137,35884,32253
68,SIRMAUR,12,30.6991321,77.4465304,529855,276289,253566,69620,36107,33513
69,SHIMLA,12,31.1041526,77.1709729,814010,425039,388971,81564,42376,39188
70,KINNAUR,12,31.593013,78.3281417,84121,46249,37872,8246,4200,4046
