hospital_id,hospital_name,address,district_id,pincode,latitude,longitude,mco_contact_number,total_beds,hospital_type
10479,Ayurvedic Hospital,"Rampur, Shimla, Himachal Pradesh, 0",69.0,0.0,31.4492451,77.6298122,0,,
10480,Ayurvedic Hospital,"Rohru, Shimla, Himachal Pradesh, 0",69.0,0.0,31.2045526,77.7523608,0,,
10481,Civil Hospital,"Rohru, Shimla, Himachal Pradesh, 0",69.0,0.0,31.1048145,77.1734033,0,,
10482,Civil Hospital,"Chopal, Shimla, Himachal Pradesh, 0",69.0,0.0,30.9478979,77.5901243,0,,
10483,Civil Hospital,"Jubbal, Shimla, Himachal Pradesh, 0",69.0,0.0,31.1116916,77.6664976,0,,
10484,Civil Hospital,"Junga, Shimla, Himachal Pradesh, 0",69.0,0.0,31.0240057,77.1916497,0,,
10485,Civil Hospital,"Kotgarh, Shimla, Himachal Pradesh, 172031",69.0,172031.0,31.3113704,77.4744889,0,,
10486,Civil Hospital,"Nerwa, Shimla, Himachal Pradesh, 0",69.0,0.0,30.9190232,77.6424486,0,,
10487,Civil Hospital,"Theog, Shimla, Himachal Pradesh, 0",69.0,0.0,31.1260995,77.3524522,0,,
10488,Community Health Centre,"Nankhri, Shimla, Himachal Pradesh, 0",69.0,0.0,31.1048145,77.1734033,0,,
10489,Community Health Centre,"Chirgaon, Shimla, Himachal Pradesh, 0",69.0,0.0,31.2373257,77.8738864,0,,
10490,Community Health Centre,"Kumarsain, Shimla, Himachal Pradesh, 0",69.0,0.0,31.3182709,77.4458151,0,,
10491,Community Health Centre,"Suni, Shimla, Himachal Pradesh, 0",69.0,0.0,31.2422245,77.1221405,0,,
10492,Community Health Centre,"Kotkhai, Shimla, Himachal Pradesh, 0",69.0,0.0,31.1048145,77.1734033,0,,
10493,DDU Hospital,,69.0,0.0,31.1048145,77.1734033,0,,
10494,GovernmentDental Collage,,69.0,0.0,31.1048145,77.1734033,0,,
10495,Indira Gandhi Medical Collage,,69.0,0.0,31.1048145,77.1734033,0,,
10496,Indus Hospital,"Nav Bahar, Shimla, Himachal Pradesh, 0",69.0,0.0,31.1048145,77.1734033,0,,
10497,JNS Eye Care Centre,"Neelkunj, North Oak Sanjauli, Shimla, Himachal Pradesh, 0",69.0,0.0,31.1050849,77.1923685,0,,
10498,KNH Shimla,,69.0,0.0,31.0927056,77.1773458,0,,
10499,MGMSCKHNERI,"Khneri, Rampur, Shimla, Himachal Pradesh, 0",69.0,0.0,31.4492451,77.6298122,0,,
10500,Primary Health Centre,"Mashobra, Shimla, Himachal Pradesh, 0",69.0,0.0,31.1296226,77.2283453,0,,
10521,"Referral Hospital, Chowari","Chowari, Chamba, Himachal Pradesh, 176302",59.0,176302.0,32.4311794,76.0130784,0,,
10522,C H C Holi,"Holi, Chamba, Himachal Pradesh, 176309",59.0,176309.0,32.3365641,76.5442693,0,,
10523,Government Hospital,,59.0,176310.0,32.5533633,76.1258083,0,,
10524,Navjeevan Hospital,"Mohalla Sapari, Chamba, Himachal Pradesh, 176310",59.0,176310.0,32.6923316,76.1631552,0,,
10525,"Regional Hospital, Chamba",,59.0,176310.0,32.5533633,76.1258083,0,,
10526,Sukhmani Hospital,"Near Bus Stand, Chamba, Himachal Pradesh, 176310",59.0,176310.0,32.6923316,76.1631552,0,,
10527,C H C Choori,"Choori, Chamba, Himachal Pradesh, 176311",59.0,176311.0,32.4788271,76.2908918,0,,
10528,"P H C, Kakira","Kakira, Chamba, Himachal Pradesh, 176313",59.0,176313.0,32.4557583,75.9344155,0,,
10529,Swami Shri Hari Giri Hospital,"Kakira Kamlari, Chamba, Himachal Pradesh, 176313",59.0,176313.0,32.6923316,76.1631552,0,,
10530,C H C Sahoo,"Sahoo, Chamba, Himachal Pradesh, 176314",59.0,176314.0,32.6923316,76.1631552,0,,
10531,"Ayurvedic Hospital, Bharmour","Bharmour, Chamba, Himachal Pradesh, 176315",59.0,176315.0,32.442849,76.5329269,0,,
10532,C H C Bharmour,"Bhamour, Chamba, Himachal Pradesh, 176315",59.0,176315.0,32.4411286,76.5357732,0,,
10533,C H C Saluni,"Saluni, Chamba, Himachal Pradesh, 176320",59.0,176320.0,32.7299555,76.0342881,0,,
10534,C H C Killar,"Killar, Chamba, Himachal Pradesh, 176323",59.0,176323.0,33.0852673,76.3989821,0,,
10535,"P H C, Purthi","Purthi, Chamba, Himachal Pradesh, 176323",59.0,176323.0,32.9151619,76.4664307,0,,
10536,Ayurvedic Hospital,"Bharmour, Chamba, Himachal Pradesh, 176315",59.0,176315.0,32.442849,76.5329269,0,,
10537,Civil Hospital,"Subhash Chowk Rd, Moti Tiba, Chamba, Himachal Pradesh, 176305",59.0,176305.0,32.5352395,75.9671164,0,,
10538,Civil Hospital,"Tissa, Chamba, Himachal Pradesh, 176316",59.0,176316.0,32.5447632,75.943557,0,,
10539,Community Health Centre,"BHARMOUR, Chamba, Himachal Pradesh, 0",59.0,0.0,32.442849,76.5329269,0,,
10540,Community Health Centre,"CHOORI, Chamba, Himachal Pradesh, 0",59.0,0.0,32.6923316,76.1631552,0,,
10541,Community Health Centre,"HOLI, Chamba, Himachal Pradesh, 176309",59.0,176309.0,32.3307407,76.5502682,0,,
10542,Community Health Centre,"Kihar, Chamba, Himachal Pradesh, 0",59.0,0.0,32.4871571,75.9408807,0,,
10543,Community Health Centre,"Killar, Chamba, Himachal Pradesh, 0",59.0,0.0,33.0840737,76.4071336,0,,
10544,Community Health Centre,"Purthi, Chamba, Himachal Pradesh, 0",59.0,0.0,32.9151619,76.4664307,0,,
10545,Community Health Centre,"Sahoo, Chamba, Himachal Pradesh, 0",59.0,0.0,32.6923316,76.1631552,0,,
10546,Community Health Centre,"Saluni, Chamba, Himachal Pradesh, 0",59.0,0.0,32.7363886,76.0290366,0,,
10547,District Ayurvedic Hospital,,59.0,176312.0,32.5681863,76.1208512,0,,
10548,Primary Health Centre,"Kakira, Chamba, Himachal Pradesh, 0",59.0,0.0,32.4559116,75.9343484,0,,
10549,Primary Health Centre,"Purthi, Chamba, Himachal Pradesh, 0",59.0,0.0,32.9151619,76.4664307,0,,
10550,Referral Hospital,"CHOWARI, Chamba, Himachal Pradesh, 0",59.0,0.0,32.4311794,76.0130784,0,,
10552,Regional Hospital,,59.0,0.0,32.5533633,76.1258083,0,,
10575,Bimal Nursing Home,"V. & P.O Khaira,Teh Palampur, Kangra, Himachal Pradesh, 176001",60.0,176001.0,32.1108599,76.5362526,0,,
10576,Civil Hospital,"Baijnath, Kangra, Himachal Pradesh, 176001",60.0,176001.0,32.0521085,76.6492869,0,,
10577,Dr.Rpmc Hospital,"Tanda, Kangra, Himachal Pradesh, 176001",60.0,176001.0,32.1002864,76.3005502,0,,
