district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
37,KUPWARA,32,34.5140696,74.191367,870354,474190,396164,188798,100459,88339
38,BADGAM,32,34.0385248,74.7360163,753745,398041,355704,155202,84720,70482
39,LEH(LADAKH),32,34.1718527,77.5866776,133487,78971,54516,12016,6174,5842
40,KARGIL,32,33.802819,76.4730096,140802,77785,63017,19928,10078,9850
41,PUNCH,32,33.7670004,74.0957143,476835,251899,224936,84674,44733,39941
42,RAJOURI,32,33.3772495,74.3132332,642415,345351,297064,108271,58051,50220
43,KATHUA,32,32.3765524,75.5243044,616435,326109,290326,83936,45833,38103
44,BARAMULA,32,34.2086903,74.343498,1008039,534733,473306,164581,88321,76260
45,BANDIPORE,32,34.4563234,74.6825,392232,207680,184552,61754,32641,29113
46,SRINAGAR,32,34.0747444,74.8204443,1236829,651124,585705,158300,84897,73403
47,GANDERBAL,32,34.2889322,75.0407983,297446,158720,138726,50594,27159,23435
48,PULWAMA,32,33.9490472,75.0418335,560440,293064,267376,97374,53234,44140
49,SHUPIYAN,32,33.717,74.8361,266215,136480,129735,41547,22121,19426
50,ANANTNAG,32,33.74611,75.1854475,1078692,559767,518925,208538,113278,95260
51,KULGAM,32,33.6446899,75.0188432,424483,217620,206863,71501,37929,33572
52,DODA,32,33.13261,75.5890079,409936,213641,196295,71240,36862,34378
53,RAMBAN,32,33.2116371,75.2050989,283713,149132,134581,55092,28625,26467
54,KISHTWAR,32,33.3107908,75.7694213,230696,120165,110531,39396,20479,18917
55,UDHAMPUR,32,32.9219726,75.1331482,554985,296784,258201,84332,44703,39629
56,REASI,32,33.0691032,74.8378698,314667,166461,148206,55799,29079,26720
57,JAMMU,32,32.7185614,74.8580917,1529958,813821,716137,167363,93242,74121
58,SAMBA,32,12.7052899,-2.4007251,318898,169124,149774,38669,21737,16932
