hospital_id,hospital_name,address,district_id,pincode,latitude,longitude,mco_contact_number,total_beds,hospital_type
10964,Al-Shifa Hospital,"Cheeni Chowk, Anantnag, Jammu and Kashmir, 192101",50.0,192101.0,33.74611,75.1854475,0,,
10965,Jammu and Kashmir Government Health Deptt.,,50.0,192101.0,33.778175,76.5761714,0,,
10966,Jhon Bishop Memorial Hospital,"Sarnal, Anantnag, Jammu and Kashmir, 192101",50.0,192101.0,33.7343969,75.1656649,0,,
10967,Rahat Dedi Nursing Home,"Lal Chowk, Anantnag, Jammu and Kashmir, 192101",50.0,192101.0,33.7049708,75.2479061,0,,
10968,Dr. Altafs Nursing Home,"Baramulla, Kashmir, Baramulla, Jammu and Kashmir, 193101",44.0,193101.0,34.2086903,74.343498,0,,
10969,St.Josephs Hospital,,44.0,193101.0,34.2086903,74.343498,0,,
10970,Hakim Sana Ullah Specialist Hospital and Cancer Center,"Near Fruit Mandi Sopore, Baramulla, Jammu and Kashmir, 193201",44.0,193201.0,34.5033161,74.2720345,0,,
10971,Sopore Hospital,"Kfc Complex, New Colony, Sopore, Baramulla, Jammu and Kashmir, 193201",44.0,193201.0,34.2086903,74.343498,0,,
10972,Bone and Joint Hospital,"Barzulla , Srinagar, Budgam, Jammu and Kashmir, 190005",38.0,190005.0,34.1255413,74.9442585,0,,
10973,Government Hospital For Bone and Joint Surgery,"Barzulla , Srinagar, Budgam, Jammu and Kashmir, 190005",38.0,190005.0,34.1255413,74.9442585,0,,
10974,Mubarak Hospital,"Hyderpora, Bye-Pass, Opp Cm's Residence, Budgam, Jammu and Kashmir, 190014",38.0,190014.0,33.9098746,74.6270357,0,,
10975,Imam Hussain (A S) Hospital,"Hamdaniya Colony, Bemira, Budgam, Jammu and Kashmir, 191111",38.0,191111.0,34.0670462,74.7600404,0,,
10976,Health Crecent Maternity and Poly Clinic,"Ward No-02,Bandipora, Budgam, Jammu and Kashmir, 191113",38.0,191113.0,33.9098746,74.6270357,0,,
10977,District Hospital,"Doda, Doda, Jammu and Kashmir, 182145",52.0,182145.0,33.778175,76.5761714,0,,
10978,Ankur Clinic,"396-A, Gandhi Nagar, Jammu, Jammu and Kashmir, 180001",57.0,180001.0,32.7034322,74.8609472,0,,
10979,Chand Eye Clinic,"32-Gurha Bakshi Nagar, Jammu, Jammu and Kashmir, 180001",57.0,180001.0,32.7378396,74.849251,0,,
10980,Col. Sir. R.N. Chopra Nursing Home,"Government Medical College Hospital, Jammu, Jammu and Kashmir, 180001",57.0,180001.0,19.8930198,75.3185466,0,,
