district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
382,GARHWA ,13,24.053577,83.6526818,1322784,683575,639209,239664,122305,117359
383,CHATRA,13,24.1062316,84.8623379,1042886,533935,508951,195321,99312,96009
384,KODARMA,13,24.5423801,85.69301,716259,367222,349037,132375,67916,64459
385,GIRIDIH,13,24.3314546,86.1548117,2445474,1258098,1187376,460251,237056,223195
386,DEOGHAR,13,24.4898318,86.6990182,1492073,775022,717051,268453,137658,130795
387,GODDA,13,24.8645886,87.2984838,1313551,677927,635624,241784,123368,118416
388,SAHIBGANJ,13,25.0320437,87.691764,1150567,589391,561176,221955,113220,108735
389,PAKUR,13,24.5325909,87.593232,900422,452661,447761,177623,89935,87688
390,DHANBAD,13,23.7952809,86.4309638,2684487,1405956,1278531,373394,194879,178515
391,BOKARO,13,23.6991279,85.9910689,2062330,1072807,989523,293786,152803,140983
392,LOHARDAGA,13,23.4770044,84.6986684,461790,232629,229161,77649,39412,38237
393,PURBI SINGHBHUM,13,,,2293919,1176902,1117017,296626,154229,142397
394,PALAMU,13,24.2212983,84.1725565,1939869,1006302,933567,329728,169543,160185
395,LATEHAR,13,23.6880057,84.4969551,726978,369666,357312,137699,69971,67728
396,HAZARIBAGH,13,24.0866962,85.4912231,1734495,890881,843614,281863,145821,136042
397,RAMGARH,13,23.693479,85.5215989,949443,494230,455213,134226,69661,64565
398,DUMKA,13,24.2677937,87.2485495,1321442,668514,652928,219449,111641,107808
399,JAMTARA,13,23.9801639,86.9243637,791042,404830,386212,130993,67051,63942
400,RANCHI,13,23.3700501,85.3250387,2914253,1494937,1419316,401214,207029,194185
401,KHUNTI,13,22.9281801,85.2814475,531885,266335,265550,86292,43947,42345
402,GUMLA,13,23.1603759,84.4599565,1025213,514390,510823,173647,88472,85175
403,SIMDEGA,13,22.5904573,84.5464805,599578,300309,299269,94414,47962,46452
404,PASHCHIMI SINGHBHUM,13,,,1502338,749385,752953,261493,131836,129657
405,SARAIKELA-KHARSAWAN,13,22.7464225,85.9168929,1065056,544411,520645,159596,82120,77476
