district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
562,BELGAUM,14,15.8572666,74.5069343,4779661,2423063,2356598,626269,323761,302508
563,BAGALKOT ,14,16.1793224,75.6999315,1889752,950111,939641,271908,140551,131357
564,BIJAPUR,14,18.7935679,80.815939,2177331,1111022,1066309,318406,164856,153550
565,BIDAR,14,18.0207297,77.2487204,1703300,870665,832635,224442,115550,108892
566,RAICHUR,14,16.0547194,76.9003647,1928812,964511,964301,283733,145468,138265
567,KOPPAL,14,15.5748238,76.3118494,1389920,699926,689994,201654,103016,98638
568,GADAG,14,15.416692,75.6815801,1064570,537147,527423,132442,68025,64417
569,DHARWAD,14,15.3707296,75.1332867,1847023,937206,909817,219942,113127,106815
570,UTTARA KANNADA,14,14.7253795,74.6403389,1437169,726256,710913,150115,76794,73321
571,HAVERI,14,14.7180267,75.3656423,1597668,819128,778540,195317,100369,94948
572,BELLARY,14,15.1430224,76.9173277,2452595,1236954,1215641,344152,175543,168609
573,CHITRADURGA,14,14.3049174,76.5296667,1659456,840843,818613,184280,94629,89651
574,DAVANAGERE,14,14.2558835,75.8303421,1945497,986400,959097,217731,111793,105938
575,SHIMOGA,14,14.0556502,75.2380553,1752753,877415,875338,182751,93221,89530
576,UDUPI,14,13.5269784,74.8731879,1177361,562131,615230,103160,52689,50471
577,CHIKMAGALUR,14,13.318014,75.7738743,1137961,566622,571339,105328,53493,51835
578,TUMKUR,14,13.3400771,77.1006208,2678980,1350594,1328386,265742,135671,130071
579,BANGALORE,14,12.9767936,77.590082,9621551,5022661,4598890,1052837,541656,511181
580,MANDYA,14,12.6368939,76.7275477,1805769,905085,900684,172685,89063,83622
581,HASSAN,14,13.0301852,76.1744968,1776421,883667,892754,165637,83971,81666
582,DAKSHINA KANNADA,14,12.8226433,75.2265036,2089649,1034714,1054935,208297,106985,101312
583,KODAGU,14,12.3827332,75.6640715,554519,274608,279911,54733,27676,27057
584,MYSORE,14,12.3051828,76.6553609,3001127,1511600,1489527,305561,155807,149754
585,CHAMARAJANAGAR,14,11.95442,77.1069086,1020791,512231,508560,100648,51529,49119
586,GULBARGA,14,17.3310003,76.8334228,2566326,1301755,1264571,365372,188076,177296
587,YADGIR,14,16.5744123,76.9254434,1174271,590329,583942,190279,97522,92757
588,KOLAR,14,13.1805066,78.2669329,1536401,776396,760005,170423,86845,83578
589,CHIKKABALLAPURA,14,13.5897941,77.778793,1255104,636437,618667,132286,67734,64552
590,BANGALORE RURAL,14,13.0010872,77.3361225,990923,509172,481751,107062,54908,52154
591,RAMANAGARA,14,12.720006,77.3184199,1082636,548008,534628,107841,54963,52878
