district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
595,KASARAGOD,15,12.4221964,75.1904446,1307375,628613,678762,155807,79460,76347
596,KANNUR,15,11.8763836,75.3737973,2523003,1181446,1341557,274318,139159,135159
597,WAYANAD,15,11.7151291,76.1271185,817420,401684,415736,92324,46994,45330
598,KOZHIKODE,15,11.2450558,75.7754716,3086293,1470942,1615351,335645,170429,165216
599,MALAPPURAM,15,11.1068448,76.1099551,4112920,1960328,2152592,574041,292132,281909
600,PALAKKAD,15,10.7873691,76.4742172,2809934,1359478,1450456,302297,153696,148601
601,THRISSUR,15,10.5270099,76.214621,3121200,1480763,1640437,303950,155862,148088
602,ERNAKULAM,15,9.9837257,76.2740001,3282388,1619557,1662831,304242,155182,149060
603,IDUKKI ,15,9.8154785,76.9991599,1108974,552808,556166,105641,53785,51856
604,KOTTAYAM,15,9.6287383,76.6455326,1974551,968289,1006262,174486,88823,85663
605,ALAPPUZHA,15,9.5006651,76.4124143,2127789,1013142,1114647,192046,98444,93602
606,PATHANAMTHITTA,15,9.2780841,76.9737443,1197412,561716,635696,96837,49002,47835
607,KOLLAM,15,8.8870815,76.5907017,2635375,1246968,1388407,254260,128899,125361
608,THIRUVANANTHAPURAM,15,8.4882267,76.947551,3301427,1581678,1719749,307061,156377,150684
