hospital_id,hospital_name,address,district_id,pincode,latitude,longitude,mco_contact_number,total_beds,hospital_type
13763,Josco Hospital - Alappuzha,"Josco Junction, Edappon, Iranikudy, Alappuzha, Kerala, 688001",605.0,688001.0,9.5006651,76.4124143,0,,
13764,Mammen Memmorial Hospital,"Near Ksrtc Bus Stand Mc Road, Alappuzha, Kerala, 688001",605.0,688001.0,10.1111911,76.4807109,0,,
13765,Sahrudaya Hospital,"Thathampally, Alappuzha, Kerala, 688013",605.0,688013.0,9.5064885,76.3478097,0,,
13766,St Michaels Hospital Tsunami Project Only),"Kattoor, Kalavoor, Alappuzha, Kerala, 688522",605.0,688522.0,9.5653007,76.3246517,0,,
13767,S H General Hospital,"Greengardens, Cherthala, Alappuzha, Kerala, 688523",605.0,688523.0,9.6792828,76.3515861,0,,
13768,K V M Mutispeciality Hospital,"P.B No-30, National Highway Site, Alappuzha, Kerala, 688524",605.0,688524.0,18.5691128,73.7701993,0,,
13769,Prathyasa Msgr Joseph Kandathil Memorial Cancer Research Center,"On The National Highway 47 Between Cherthala, Alappuzha, Kerala, 688524",605.0,688524.0,9.5006651,76.4124143,0,,
13770,"Primary Health Centre, Vrvm","Vayalar, Cherthala, Alappuzha, Kerala, 688524",605.0,688524.0,9.6836368,76.3365377,0,,
13771,Sacred Heart General Hospital,"Green Gardens, Alappuzha, Kerala, 688524",605.0,688524.0,9.5006651,76.4124143,0,,
13772,Sree Narayana Medical Mission General Hospital,"T.B Clinic,Cherthala, Alappuzha, Kerala, 688524",605.0,688524.0,9.6836368,76.3365377,0,,
13773,Sree Venkateswara Hospital,"Near Pvt Bus Stand, Nadrkevu Road, Alappuzha, Kerala, 688524",605.0,688524.0,9.6874282,76.3398962,0,,
13774,T.D. Medical College Hospital Alappuzha,"Alappuzha, Alappuzha, Kerala, 688524",605.0,688524.0,9.5078547,76.3237932,0,,
13775,Taluk Head Quartes Hospital,"Cherthala, Alappuzha, Kerala, 688524",605.0,688524.0,9.7501932,76.3896828,0,,
13776,C K V Hospital,"Poochakkal P O, Alappuzha, Kerala, 688526",605.0,688526.0,9.5006651,76.4124143,0,,
13777,St Sebastians Visitation Hospital (Tsunami Project Only),"Arthunkal Po.Cherthala, Alappuzha, Kerala, 688530",605.0,688530.0,9.7037087,76.3168932,0,,
13778,Primary Health Centre,"Thuravoor, Alappuzha, Kerala, 688532",605.0,688532.0,9.7728068,76.3116235,0,,
13779,Shanthi Hospital,,605.0,688532.0,9.9382611,76.3500378,0,,
13780,Lakshmi Hospital,"Bye Pass Junction, Aroor, Alappuzha, Kerala, 688534",605.0,688534.0,9.0933391,76.6869226,0,,
13781,Moham Hospital Tsunami Project Only),"Ezhupuuna Panchayath Beside Nh 47, Eramallor Near Kochi, Alappuzha, Kerala, 688537",605.0,688537.0,9.9312328,76.2673041,0,,
13782,Nicholas Hospital,"Nh 47, Alappuzha, Kerala, 688537",605.0,688537.0,9.5006651,76.4124143,0,,
13783,Kinder Womens Hspital and Fertility Centre (P) Ltd.,"Maruthorvattom Temple Road, Near N. H. 47, Cherthala, Alappuzha, Kerala, 688539",605.0,688539.0,43.1938516,-71.5723953,0,,
13784,St Thomas,"C.A. Road, Pallippuram, Alappuzha, Kerala, 688541",605.0,688541.0,10.4676986,76.1819605,0,,
13785,Ursula Hospital Tsunami Project Only),"Ambalpuzha, Alappuzha, Kerala, 688561",605.0,688561.0,9.5006651,76.4124143,0,,
13786,"R.B.M. Hospital,","Thakazhy, Alleppy, Alappuzha, Kerala, 688562",605.0,688562.0,9.4081987,76.3466401,0,,
13787,Usha Nursing Home,"Angadical,Cengannur, Alappuzha, Kerala, 689122",605.0,689122.0,9.5006651,76.4124143,0,,
13788,Century Hospital,"Mulakuza Chengannur Chengannur, Alappuzha, Kerala, 689505",605.0,689505.0,9.3182301,76.6084988,0,,
13789,Pamlatheeram Ayurvedic Riverside Village,"Angadical,Puthencavu P.O.Chengannur, Alappuzha, Kerala, 689505",605.0,689505.0,9.3183275,76.6110845,0,,
13790,Venad Hospital,"Kulavikonam Nedumawgad , Nedumawgad, Alappuzha, Kerala, 689505",605.0,689505.0,9.5006651,76.4124143,0,,
13791,Jubilee Memorial Hospital,"Maha Jubilee Memorial Hospital , Edathwa, Alappuzha, Kerala, 689573",605.0,689573.0,9.5006651,76.4124143,0,,
13792,Lourdes Matha Hospital,"Pachh, Chekkidikadu, Alappuzha, Kerala, 689573",605.0,689573.0,9.5006651,76.4124143,0,,
13793,Maha Jublee Memorial Hospital,"Edathua, Alappuzha, Kerala, 689573",605.0,689573.0,9.3695022,76.4603406,0,,
13794,Lourdes Hospital,"A. C Road, Alappuzha, Kerala, 689595",605.0,689595.0,9.5006651,76.4124143,0,,
13795,Gems Hospital,"Court Junction, Mavelikara, Alappuzha, Kerala, 690101",605.0,690101.0,9.3303263,76.5318695,0,,
13796,"P.M. Hospital, Mavelikara","Puthenkodickal, Nadakavu, Mavelikara, Alappuzha, Kerala, 690101",605.0,690101.0,9.2505757,76.5400806,0,,
13797,Philip Memorial Hospital,"Nadackavu, Mavelikara Mavelikara 690101 Dist Alleppey, Alappuzha, Kerala, 690101",605.0,690101.0,9.1973566,76.5163691,0,,
13798,Sovereign Gems Hospital,"Court Junction, Mavelikara, Alappuzha, Kerala, 690101",605.0,690101.0,9.3303263,76.5318695,0,,
13799,Vrindavan Ayurveda Nursing Home,"Mavelikara, Alappuzha, Kerala, 690101",605.0,690101.0,9.2505757,76.5400806,0,,
13800,Sree Kanta Puram Hospital,"Kandiyoor Kandiyoor, Alappuzha, Kerala, 690103",605.0,690103.0,9.5006651,76.4124143,0,,
13801,Srikantapuram Hospital (Skp Hospital),"Kandiyoor, Alappuzha, Kerala, 690103",605.0,690103.0,9.5006651,76.4124143,0,,
13802,V.S.M.Hospital,"Thattarambalam P.O, Mavelikara, Alappuzha, Kerala, 690103",605.0,690103.0,9.2529917,76.5213648,0,,
13803,Ahalia Foundation Eye Hospital,"Pulimoottil Park Avenue, Park Junction ,Kayamkulam, Alappuzha, Kerala, 690502",605.0,690502.0,9.5006651,76.4124143,0,,
13804,Christos Hospital,"Kpac Junction Kallummoodu, Kayamkulam, Alappuzha, Kerala, 690502",605.0,690502.0,9.1562928,76.5130539,0,,
13805,Deepam Hospital Tsunami Project Only),"Kayamkulam, Kanaalloor North, Pattoli Market Post, Alappuzha, Kerala, 690502",605.0,690502.0,9.5006651,76.4124143,0,,
13806,Ebenezer Hospital,"Court Road, Kayamkulam, Kayamkulam, Alappuzha, Kerala, 690502",605.0,690502.0,9.1736831,76.4991566,0,,
13807,J J Hospital,"Krishnapuram, Kayamkulam, Alappuzha, Kerala, 690502",605.0,690502.0,9.1774559,76.5306566,0,,
13808,Kayamkulam Medical Trust,"Near Town Hall Kayamkulam, Alappuzha, Kerala, 690502",605.0,690502.0,9.5006651,76.4124143,0,,
13809,Medical Trust Hospital (Tsunami Project Only),"N.H.47, Kpac Jn, Kayamkulam, Alappuzha, Kerala, 690502",605.0,690502.0,43.1938516,-71.5723953,0,,
13810,P.K.Kunju Sahib Memorial Taluk Hospital,"Kayamkulam, Dt, Alappuzha, Kerala, 690502",605.0,690502.0,9.5006651,76.4124143,0,,
13811,S G Ayurveda Chikilasalayam,"Kylam, Alappuzha, Kerala, 690502",605.0,690502.0,9.5006651,76.4124143,0,,
13812,Smc Hospital (Tsunami Project Only),"Muthuklam South Po, Alappuzha, Kerala, 690506",605.0,690506.0,9.5006651,76.4124143,0,,
13813,Sanjivani Multi-Speciality Hospital,"Alacode, Kollakadavu P.O., Cheriyanadu, Chengannur, Alappuzha, Kerala, 690509",605.0,690509.0,9.3183275,76.6110845,0,,
13814,Hi -Care Medical Center,"Muttom P O ,Harippad,Alleppy, Alappuzha, Kerala, 690511",605.0,690511.0,9.2632089,76.4794329,0,,
13815,Chaithanya Eye Hospital,"North Of Town Hall, Haripad, Alappuzha, Kerala, 690514",605.0,690514.0,9.2835033,76.4542486,0,,
13816,Deepa Hospital,"Karuvatta, Haripad, Alappuzha, Kerala, 690514",605.0,690514.0,9.2815315,76.4534165,0,,
13817,Huda Trust,"Kumarapuram Po Haripad, Alappuzha, Kerala, 690514",605.0,690514.0,9.283214,76.457574,0,,
13818,Elite Hospital,"P. O. Mahadevi Kadu, Alappuzha, Kerala, 690516",605.0,690516.0,9.5006651,76.4124143,0,,
13819,Sree Ramakrishna Pharmacy-Karthikappally-Kerala,"Chingoli P.O., Karthikappally, Alappuzha, Kerala, 690532",605.0,690532.0,9.2515842,76.4451337,0,,
13820,"T.D Medical College, Alappuzha","Vandanam, Alappuzha, Kerala, 688005",605.0,688005.0,9.4178085,76.3512483,0,,
13821,V.G.Saraf Memorial Hospital\n,"39 /4603, Sreekandath Road, Ravipuram, Ernakulam, Kerala, 682016",602.0,682016.0,9.9613612,76.2885246,0,,
13822,Arya Vaidya Sala Kottakkal,"Kochi, Ernakulam, Kerala, 682001",602.0,682001.0,9.9312328,76.2673041,0,,
13823,R.C.P.M Hospital,"Changankulangara,Ooachira Post, Ernakulam, Kerala, 682001",602.0,682001.0,9.9837257,76.2740001,0,,
13824,Bishop Alappatt Mission Hospital,"Karanchira, Kattoor, Irinjalakuda, Ernakulam, Kerala, 682002",602.0,682002.0,10.3903715,76.1643006,0,,
13825,Goutham Hospital,"Panayappilly, Ernakulam, Kerala, 682002",602.0,682002.0,9.9463846,76.2580499,0,,
13826,West Side Hospital Pvt Ltd,"Dhanwanthari Nagar Moulana Azad Road Kappalandimukku Fort Cochin, Ernakulam, Kerala, 682002",602.0,682002.0,9.9312328,76.2673041,0,,
13827,Jesus Hospital,"Opposite Government Hospital, Karuvelipady, Cochin, Ernakulam, Kerala, 682005",602.0,682005.0,9.9390337,76.2616704,0,,
13828,K P M Eye Hospital,"Capitol Road, Ernakulam, Kerala, 682005",602.0,682005.0,9.9816358,76.2998842,0,,
13829,Laxmi Hospital,"Panepalli, Ernakulam, Kerala, 682005",602.0,682005.0,33.5588035,133.5311675,0,,
13830,Fathima Hospital,"Cultes Road,Perumpadappu,On Way To Kumbalangi Before Bridge, Ernakulam, Kerala, 682006",602.0,682006.0,9.9837257,76.2740001,0,,
13831,Our Lady Hospital,"# 23/2801-A,Palluruthy., Ernakulam, Kerala, 682006",602.0,682006.0,9.9087118,76.2730412,0,,
13832,Gautham Hospital,"P.B. No. 868, Panayapilly, Ernakulam, Kerala, 682008",602.0,682008.0,9.9463846,76.2580499,0,,
13833,Chaitanya Eye Hospital and Research Instt,"Ernakulam, Ernakulam, Kerala, 682011",602.0,682011.0,9.9816358,76.2998842,0,,
13834,Dhanya Mission Hospital Potta,"Chlakudy, Ernakulam, Kerala, 682011",602.0,682011.0,9.9816358,76.2998842,0,,
13835,Dr Kunhalus Nursing Home,"T. D. Road, Ernakulam, Kerala, 682011",602.0,682011.0,9.9816358,76.2998842,0,,
