district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
454,SHEOPUR ,17,25.7499266,76.9212945,687861,361784,326077,116639,61490,55149
455,MORENA,17,26.3849794,77.8612721,1965970,1068417,897553,305156,166858,138298
456,BHIND,17,26.3518828,78.6863189,1703005,926843,776162,248230,134705,113525
457,GWALIOR,17,26.2037247,78.1573628,2032036,1090327,941709,261418,142098,119320
458,DATIA,17,25.9182946,78.6644962,786754,420157,366597,110114,59335,50779
459,SHIVPURI,17,25.3741215,77.8278866,1726050,919795,806255,285770,150950,134820
460,TIKAMGARH,17,24.8552105,79.0472546,1445166,760355,684811,227564,120303,107261
461,CHHATARPUR,17,24.7606089,79.6781776,1762375,936121,826254,282794,148861,133933
462,PANNA,17,24.4498931,80.1462723,1016520,533480,483040,163620,85494,78126
463,SAGAR,17,23.8083076,78.758254,2378458,1256257,1122201,356903,185400,171503
464,DAMOH,17,23.7981005,79.5419356,1264219,661873,602346,191968,99544,92424
465,SATNA,17,24.6954445,80.7770348,2228935,1157495,1071440,330661,173093,157568
466,REWA,17,24.7560846,81.3810574,2365106,1225100,1140006,351983,186697,165286
467,UMARIA,17,23.6431837,80.9419078,644758,330674,314084,103414,53237,50177
468,NEEMUCH ,17,24.6305517,75.1829,826067,422653,403414,107384,55724,51660
469,MANDSAUR,17,24.2628148,75.385692,1340411,682851,657560,177659,92188,85471
470,RATLAM,17,23.50222,74.9551534,1455069,738241,716828,218354,112637,105717
471,UJJAIN,17,23.1885131,75.7716562,1986864,1016289,970575,271306,140597,130709
472,SHAJAPUR,17,23.4171001,76.6074794,1512681,780520,732161,217759,113404,104355
473,DEWAS,17,22.8057498,76.2940408,1563715,805359,758356,229339,119566,109773
474,DHAR,17,22.5786572,75.2258637,2185793,1112725,1073068,359949,186684,173265
475,INDORE,17,22.7203616,75.8681996,3276697,1699627,1577070,421380,221612,199768
476,KHARGONE (WEST NIMAR),17,21.833333,75.5,1873046,953121,919925,299990,154758,145232
477,BARWANI ,17,21.7514248,74.8915957,1385881,699340,686541,265299,136212,129087
478,RAJGARH,17,23.8716706,76.7744703,1545814,790212,755602,231987,120815,111172
479,VIDISHA,17,23.8463003,77.8370209,1458875,769568,689307,235391,122200,113191
480,BHOPAL,17,23.2584857,77.401989,2371061,1236130,1134931,304713,158721,145992
481,SEHORE,17,23.1150041,77.0665356,1311332,683743,627589,197429,103240,94189
482,RAISEN,17,23.2675909,78.1727134,1331597,700358,631239,207699,107499,100200
483,BETUL,17,21.8797472,77.8753651,1575362,799236,776126,211433,108034,103399
484,HARDA ,17,22.2427973,77.1179173,570465,294838,275627,84191,43667,40524
485,HOSHANGABAD,17,22.7545538,77.7198249,1241350,648725,592625,164602,85781,78821
486,KATNI ,17,23.7176393,80.2610181,1292042,662013,630029,193395,99761,93634
487,JABALPUR,17,23.1701522,79.9324505,2463289,1277278,1186011,296565,154210,142355
488,NARSIMHAPUR,17,22.916667,79.166667,1091854,568810,523044,142250,74445,67805
489,DINDORI ,17,22.9070871,80.8846924,704524,351913,352611,111820,56767,55053
490,MANDLA,17,22.6871074,80.5816341,1054905,525272,529633,150263,76288,73975
491,CHHINDWARA,17,22.2071897,78.798833,2090922,1064468,1026454,272289,139220,133069
492,SEONI,17,22.2748109,79.7202522,1379131,695879,683252,180784,92567,88217
493,BALAGHAT,17,21.8611589,80.3237105,1701698,842178,859520,212931,108278,104653
494,GUNA,17,24.5001772,77.2600959,1241519,649362,592157,207177,108473,98704
495,ASHOKNAGAR,17,24.6186095,77.8786983,845071,443837,401234,138787,72239,66548
496,SHAHDOL,17,23.3002343,81.364771,1066063,540021,526042,159806,81943,77863
497,ANUPPUR,17,23.0346179,81.7510255,749237,379114,370123,106071,54388,51683
498,SIDHI,17,24.2112687,81.7000415,1127033,575912,551121,194528,101633,92895
499,SINGRAULI,17,24.2431343,82.3827672,1178273,613637,564636,209792,109094,100698
500,JHABUA,17,22.8869652,74.7243249,1025048,515023,510025,211869,109040,102829
501,ALIRAJPUR,17,22.2859524,74.3545628,728999,362542,366457,147961,74818,73143
502,KHANDWA (EAST NIMAR),17,21.75,76.583333,1310061,674329,635732,208140,107730,100410
503,BURHANPUR,17,21.3348669,76.3708803,757847,388504,369343,122869,63874,58995
