hospital_id,hospital_name,address,district_id,pincode,latitude,longitude,mco_contact_number,total_beds,hospital_type
14654,Dr. Ramabai Memorial Lifeline Cristian Hospital and Research Centre,"Burhar Road, Anuppur, Madhya Pradesh, 484001",497.0,484001.0,23.0346179,81.7510255,0,,
14655,Dr. Shobha Memorial Hospital,"Near Bodar Chowk Sinhpur Road, Shahdol, Madhya Pradesh, 484001",496.0,484001.0,23.3002343,81.364771,0,,
14656,Sai Kripa Hospital,"Jaistambhchowk, Shadol, Madhya Pradesh, 484001",496.0,484001.0,7.4337465,126.1669771,0,,
14657,Shri Ram Hospital,"Near Rajendra Talkies, Shahdol, Madhya Pradesh, 484001",496.0,484001.0,23.3002343,81.364771,0,,
14658,Arogyadham Shiksha and Swasthya Samiti,"Bus Stand, OppositeHotel Vimal Kotma, Anuppur, Madhya Pradesh, 484334",497.0,484334.0,23.0346179,81.7510255,0,,
14659,Anushree Hospital and Nicu,"Opp Kali Temple/W.N.15 Near Bus Stand, Balaghat, Madhya Pradesh, 481001",493.0,481001.0,21.8611589,80.3237105,0,,
14660,Ayushman Hospital,"Circuit House Road, Balaghat, Madhya Pradesh, 481001",493.0,481001.0,21.8611589,80.3237105,0,,
14661,Balaghat Hospital,,493.0,481001.0,21.812876,80.1838293,0,,
14662,Kevin Hospital,"Motinagar, Balaghat, Madhya Pradesh, 481001",493.0,481001.0,21.812876,80.1838293,0,,
14663,Khan Maternity and Surgical Nursing Home,,493.0,481001.0,21.8611589,80.3237105,0,,
14664,Mitali Critical Care Unit,"Circuit House Road, Balaghat, Madhya Pradesh, 481001",493.0,481001.0,21.5198814,80.2741063,0,,
14665,Sanmati Hopital,"Shahpur Road, Burhanpur, Madhya Pradesh, 481001",503.0,481001.0,21.2170056,76.2169594,0,,
14666,Shastri Nursing Home,"Railway Station Road, Balaghat, Madhya Pradesh, 481001",493.0,481001.0,21.8116748,80.1974646,0,,
14667,Dinesh Opticals,"A/2 Bus Stand, Mulai, Balaghat, Madhya Pradesh, 481661",493.0,481661.0,10.9500185,76.9336219,0,,
14668,Asha Hospital,"Ashagram Trust, Barwani, Madhya Pradesh, 451551",477.0,451551.0,21.7514248,74.8915957,0,,
14669,Mahamrityujay Hospital Pvt. Ltd.,"Ajad Naka, Barwani, Madhya Pradesh, 451551",477.0,451551.0,22.0363157,74.903339,0,,
14670,Primary Health Centre,"Barwah, Barwani, Madhya Pradesh, 451551",477.0,451551.0,21.7514248,74.8915957,0,,
14671,Sai Hospital,"Navalpura, Barwani, Madhya Pradesh, 451551",477.0,451551.0,22.0380291,74.9022428,0,,
14672,Sarsawati Eye Hospital And Lasik Centre,"K.B. Highway, Barwani, Madhya Pradesh, 451551",477.0,451551.0,22.047939,74.8968157,0,,
14673,Sharda Hospital And Orthopedic Hospital,"Sant Vinoba Marg,Motibag Cvhowk,Sendhwa, Barwani, Madhya Pradesh, 451551",477.0,451551.0,21.7514248,74.8915957,0,,
14674,Karuna Hospital,"Sendhawa, Barwani, Madhya Pradesh, 451666",477.0,451666.0,21.7514248,74.8915957,0,,
14675,Sanjeevani Children Hospital,"A.B. Road New Government Sendhwa, Barwani, Madhya Pradesh, 451666",477.0,451666.0,21.7514248,74.8915957,0,,
14676,Mamta Hospital and Maternity Home,"Sadar Tikari Link Road, Betul, Madhya Pradesh, 460001",483.0,460001.0,21.9066922,77.8940894,0,,
14677,Betul Hospital Surgical And Fracture Hospital,"Ranipur Road, Gauthana, Betul, Madhya Pradesh, 460440",483.0,460440.0,21.8797472,77.8753651,0,,
14678,Karuna Hospital,"Vinoba Nagar , Bhaggudhana, Betul, Madhya Pradesh, 460440",483.0,460440.0,21.8797472,77.8753651,0,,
14679,Lashkare Hospital,"Civil Lines, Betul, Madhya Pradesh, 460440",483.0,460440.0,21.9108031,77.9011842,0,,
14680,Pooja Surgical And Fracture Hospital,"Gurudwara Road, Betul Ganj, Betul, Madhya Pradesh, 460440",483.0,460440.0,21.8987564,77.9021567,0,,
14681,Rathi Hospital,"Sadar Tikari Link Road, Betul, Madhya Pradesh, 460440",483.0,460440.0,21.9066922,77.8940894,0,,
14682,Sangeeta Hospital And Research Center,"Kothi Bazar, Betul, Madhya Pradesh, 460440",483.0,460440.0,21.912789,77.9025044,0,,
14683,Subhadra Hospital,"Link Road Tikari, Betul, Madhya Pradesh, 460440",483.0,460440.0,21.9066922,77.8940894,0,,
14684,Arogya Niketan Nursing Home,"Betulganj, Betul, Madhya Pradesh, 460449",483.0,460449.0,21.8797472,77.8753651,0,,
14685,Dr. Suresh Jharbade,"Tamurni, Betul, Madhya Pradesh, 460449",483.0,460449.0,21.8797472,77.8753651,0,,
14686,Padhar Hospital,"P.O, Betul, Madhya Pradesh, 460553",483.0,460553.0,21.9108031,77.9011842,0,,
14687,Niramaya Hospital - Bhind,"Bhuta Compound, Bhind, Madhya Pradesh, 477001",456.0,477001.0,26.5587354,78.7872876,0,,
14688,Adarsh Hospital,"Shahjahanabad, Bhopal, Madhya Pradesh, 462001",480.0,462001.0,23.2711877,77.3970354,0,,
14689,Ajwani Eye Hospital,"115, Berasia Road Near Sindhi Colony, Bhopal, Madhya Pradesh, 462001",480.0,462001.0,23.2782364,77.4034124,0,,
14690,Al - Rasheed,"No:3, Chowki Imam Bada, Noor Mahal Rd, Bhopal, Madhya Pradesh, 462001",480.0,462001.0,23.2637561,77.3957125,0,,
14691,Ankur Maternity And Nursing Home,"104-105,Prince Colony, Lower Idgah Hills, Bhopal, Madhya Pradesh, 462001",480.0,462001.0,23.2713688,77.3812494,0,,
14692,Apex Hospital,"116-117, Sindhi Colony Berasia Road, Bhopal, Madhya Pradesh, 462001",480.0,462001.0,23.2782364,77.4034124,0,,
14693,Batra Hospital,"17-Zone 1St M.P.Nagar, Bhopal, Madhya Pradesh, 462001",480.0,462001.0,13.01177,77.676584,0,,
