hospital_id,hospital_name,address,district_id,pincode,latitude,longitude,mco_contact_number,total_beds,hospital_type
20442,Aizwal Civil Hospital,,319.0,796001.0,23.7277631,92.7179947,0,,
20443,Alpha Hospital,"Kulikawn, Aizawl, Mizoram, 796001",319.0,796001.0,23.7277631,92.7179947,0,,
20444,East Lungdar PHC- Rsby,"East Lungdar, Aizawl, Mizoram, 796001",319.0,796001.0,23.7277631,92.7179947,0,,
20445,Presbyterian Hospital,"Durtlang, Aizawl, Mizoram, 796001",319.0,796001.0,23.7277631,92.7179947,0,,
20446,Refferral Hospital - Rsby,"Falkawn, Aizawl, Mizoram, 796001",319.0,796001.0,23.7277631,92.7179947,0,,
20447,Bukpui PHC,"Bukpui, Aizawl, Mizoram, 796007",319.0,796007.0,23.7277631,92.7179947,0,,
20448,Grace Nursing Home and Research Center,"Lower Zarkawt, Aizawl, Mizoram, 796007",319.0,796007.0,23.7277631,92.7179947,0,,
20449,Adventist Hospital,"Seventhday Tlang, Aizawl, Mizoram, 796009",319.0,796009.0,23.7277631,92.7179947,0,,
20450,Aizwal Adventist Hospital,"7Th Day Talang, Vaivahaws, Aizawl, Mizoram, 796009",319.0,796009.0,23.7277631,92.7179947,0,,
20451,Nazareth Hospitals,"Chaltlang Bethel Lungphun, Aizawl, Mizoram, 796012",319.0,796012.0,23.7277631,92.7179947,0,,
20452,Bethesda Hospital and Research Centre,"Bawngkawn Cahimveng, Aizawl, Mizoram, 796014",319.0,796014.0,23.7277631,92.7179947,0,,
20453,Greenwood Hospital,"Bawngkawn, Aizawl, Mizoram, 796014",319.0,796014.0,23.7277631,92.7179947,0,,
20454,Lungdai PHC,"Lungdai, Aizawl, Mizoram, 796014",319.0,796014.0,23.7277631,92.7179947,0,,
20455,Khawruhlian PHC,"Khawruhlian, Aizawl, Mizoram, 796017",319.0,796017.0,23.7277631,92.7179947,0,,
20456,Tb Hospital Zemabawk,"Zemabawk, Aizawl, Mizoram, 796017",319.0,796017.0,23.7277631,92.7179947,0,,
20457,Darlawn PHC,"Darlawn, Aizawl, Mizoram, 796111",319.0,796111.0,23.7277631,92.7179947,0,,
20458,Sakawrdai Chc,"Sakawrdai, Aizawl, Mizoram, 796111",319.0,796111.0,23.7277631,92.7179947,0,,
20459,Chhingchhip PHC,"Chhingchhip, Aizawl, Mizoram, 796161",319.0,796161.0,23.7277631,92.7179947,0,,
20460,Thingsulthliah PHC,"Thingsulthliah, Aizawl, Mizoram, 796161",319.0,796161.0,23.7277631,92.7179947,0,,
20461,Aibawk PHC,"Aibawk, Aizawl, Mizoram, 796190",319.0,796190.0,23.7277631,92.7179947,0,,
20462,Sialsuk PHC,"Sialsuk, Aizawl, Mizoram, 796230",319.0,796230.0,23.7277631,92.7179947,0,,
20463,Phuaibuang PHC,"Phuaibuang, Aizawl, Mizoram, 796261",319.0,796261.0,23.7277631,92.7179947,0,,
20464,Phullen PHC,"Phullen, Aizawl, Mizoram, 796261",319.0,796261.0,23.7277631,92.7179947,0,,
20465,Saitual Chc,"Saitual, Aizawl, Mizoram, 796261",319.0,796261.0,23.7277631,92.7179947,0,,
20466,Suangpuilawn PHC,"Suangpuilawn, Aizawl, Mizoram, 796261",319.0,796261.0,23.7277631,92.7179947,0,,
20467,"Civil Hospital, Aizawl","Upper Bazar, Civil Hospital, Aizawl, Mizoram, 796001",319.0,796001.0,23.7277631,92.7179947,0,,
