district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
297,MON,22,54.2359207,-4.5147669,250260,131753,118507,40342,21099,19243
298,MOKOKCHUNG,22,26.4795861,94.5105275,194622,101092,93530,20536,10534,10002
299,ZUNHEBOTO,22,26.0123802,94.5123719,140757,71217,69540,20093,10316,9777
300,WOKHA,22,26.2422509,94.1921153,166343,84505,81838,20138,10298,9840
301,DIMAPUR ,22,25.9041378,93.7177609,378811,197394,181417,50898,25889,25009
302,PHEK,22,25.6514473,94.3809788,163418,83743,79675,27752,14505,13247
303,TUENSANG,22,26.2342107,94.741553,196596,101933,94663,35790,18516,17274
304,LONGLENG,22,26.5839315,94.8045481,50484,26502,23982,9110,4832,4278
305,KIPHIRE,22,25.8117088,94.8474036,74004,37830,36174,14711,7550,7161
306,KOHIMA,22,25.6618755,94.1019156,267988,138966,129022,36286,18279,18007
307,PEREN,22,25.4502306,93.6001154,95219,49714,45505,15415,7967,7448
