hospital_id,hospital_name,address,district_id,pincode,latitude,longitude,mco_contact_number,total_beds,hospital_type
20528,Faith Hospital,"Old Sewak Road, Dimapur, Nagaland, 797112",301.0,797112.0,25.9041378,93.7177609,0,,
20529,Metro Hospital,"Circular Road, Dimapur, Nagaland, 797112",301.0,797112.0,25.9041378,93.7177609,0,,
20530,Nikos Hospital And Research Centre,"P W D Road, Midland, Dimapur, Nagaland, 797112",301.0,797112.0,25.9041378,93.7177609,0,,
20531,Zion Hospital and Research Centre,"Purana Bazar, Dimapur, Nagaland, 797112",301.0,797112.0,25.9041378,93.7177609,0,,
20532,Christian Institute Of Health Sciences And Research (Cihsr),"4Th Mile, Dimapur, P.O. Artc, Post Box - 31, Dimapur, Nagaland, 797115",301.0,797115.0,25.9041378,93.7177609,0,,
20533,Bethel Medical Center,"Upper Chandmari Kohima, Opposite Kohima Fire Station, Kohima, Nagaland, 797001",306.0,797001.0,25.6618755,94.1019156,0,,
20534,Naga Hospital Authority,"Hospital Colony, Kohima, Nagaland, 797001",306.0,797001.0,25.6618755,94.1019156,0,,
20535,Oking Hospital And Research Clinic Pvt Ltd,"Phool Bari, Kohima, Nagaland, 797001",306.0,797001.0,25.6618755,94.1019156,0,,
20536,Naga Hospital,"Naga Hospital Authority, Hospital Colony, NH - 29, Kohima, Nagaland, 797001",306.0,797001.0,25.6618755,94.1019156,0,,
20537,Woodland Nursing Home,"A.M Road, Mokokchung, Nagaland, 798601",298.0,798601.0,26.4795861,94.5105275,0,,
20538,Impur Christian Hospital,"Impur, Mokokchung, Nagaland, 798615",298.0,798615.0,26.4795861,94.5105275,0,,
20539,Eleutheros Christian Society Hospital,"Eleutheros Christian Society, Post Box No. 51, Tuensang, Nagaland, 798612",303.0,798612.0,26.2342107,94.741553,0,,
20540,Mhondamo Memorial Nursing Home,"Mhondamo Memorial Nurshing Home, Orchid Colony, Wokha, Nagaland, 797111",300.0,797111.0,26.2422509,94.1921153,0,,
20541,Y. Rochill Hospital,"Project Colony, Zunheboto, Nagaland, 798620",299.0,798620.0,26.0123802,94.5123719,0,,
