district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
406,BARGARH,23,21.2319922,83.5652737,1481255,749161,732094,162922,83267,79655
407,JHARSUGUDA,23,21.8019368,83.9713964,579505,296690,282815,64794,33341,31453
408,SAMBALPUR,23,21.5570606,84.1528515,1041099,526877,514222,117848,60744,57104
409,DEBAGARH,23,21.4477962,84.7174204,312520,158230,154290,39917,20718,19199
410,SUNDARGARH,23,22.0605153,83.9359154,2093437,1061147,1032290,263160,135204,127956
411,KENDUJHAR,23,21.5892323,85.6687841,1801733,906487,895246,259403,131885,127518
412,MAYURBHANJ,23,21.9156338,86.3961824,2519738,1256213,1263525,351834,179536,172298
413,BALESHWAR,23,21.5197916,86.8790638,2320529,1185787,1134742,288672,148565,140107
414,BHADRAK,23,20.9854052,86.5934226,1506337,760260,746077,184560,95048,89512
415,KENDRAPARA ,23,20.5475164,86.5296168,1440361,717814,722547,161159,83654,77505
416,JAGATSINGHAPUR ,23,20.1801473,86.3414874,1136971,577865,559106,110249,57155,53094
417,CUTTACK,23,20.4686,85.8792,2624470,1352760,1271710,271816,142037,129779
418,JAJAPUR  ,23,20.8277892,86.3798353,1827192,926034,901158,216804,112558,104246
419,DHENKANAL,23,20.8351494,85.6022305,1192811,612593,580218,139096,74093,65003
420,ANUGUL  ,23,20.8411255,85.0804007,1273821,655718,618103,152403,80666,71737
421,NAYAGARH  ,23,20.2393682,85.050728,962789,502636,460153,106871,57599,49272
422,KHORDHA ,23,20.0538149,85.5023308,2251673,1167137,1084536,237394,123879,113515
423,PURI,23,19.8343066,85.6853295,1698730,865380,833350,172888,89496,83392
424,GANJAM,23,19.6090067,84.7080633,3529031,1779218,1749813,420158,220159,199999
425,GAJAPATI,23,19.1966026,84.1930634,577817,282882,294935,86984,44212,42772
426,KANDHAMAL,23,20.1306939,84.0790476,733110,359945,373165,109709,55915,53794
427,BAUDH,23,20.8415619,84.3213321,441162,221625,219537,61847,31260,30587
428,SUBARNAPUR,23,20.8535783,83.8529159,610183,311312,298871,74821,38335,36486
429,BALANGIR,23,20.6095183,83.1673029,1648997,830097,818900,216320,110658,105662
430,NUAPADA,23,20.5412657,82.5292352,610382,301962,308420,88344,44600,43744
431,KALAHANDI,23,19.8265756,83.0408702,1576869,787101,789768,222570,113726,108844
432,RAYAGADA  ,23,19.4426698,83.5873053,967911,471960,495951,148522,75598,72924
433,NABARANGAPUR ,23,19.6096232,82.2987685,1220946,604812,616134,207911,104077,103834
434,KORAPUT,23,18.7232023,82.6100596,1379647,678809,700838,225126,113742,111384
435,MALKANGIRI  ,23,18.2744685,81.9520316,613192,303624,309568,109092,54770,54322
