hospital_id,hospital_name,address,district_id,pincode,latitude,longitude,mco_contact_number,total_beds,hospital_type
20542,"Chc,Godibandha","At:Godibandha,Po:Radharamanpur, Talcher, Angul, Odisha, 759100",420.0,759100.0,21.102538,84.9536825,0,,
20543,"Sdh, Talcher","At/Po:Talcher, Angul, Odisha, 759107",420.0,759107.0,21.102538,84.9536825,0,,
20544,Chc Kaniha,"At/Po:Kaniha, Angul, Odisha, 759117",420.0,759117.0,21.102538,84.9536825,0,,
20545,Chc Khamar,"At/Po:Khamar, Angul, Odisha, 759118",420.0,759118.0,21.102538,84.9536825,0,,
20546,Chandan Nursing Home,"Similipada, Angul, Odisha, 759122",420.0,759122.0,21.102538,84.9536825,0,,
20547,Dhh Angul,"Dhh, Angul, Odisha, 759122",420.0,759122.0,21.102538,84.9536825,0,,
20548,Hiramani Clinic,"Amalapada 3Rd Lane, Angul, Odisha, 759122",420.0,759122.0,21.102538,84.9536825,0,,
20549,Kalyani Nursing Home,"Gandhi Marg, Angul, Odisha, 759122",420.0,759122.0,21.102538,84.9536825,0,,
20550,Surendra Hospital,"G P Mishra Pada G P Mishra Pada, Angul, Odisha, 759122",420.0,759122.0,21.102538,84.9536825,0,,
20551,Chc Chhendipada,"At/Po:Chhendipada,Ps:Chhendipada, Angul, Odisha, 759124",420.0,759124.0,21.102538,84.9536825,0,,
20552,Chc Madhapur,"At/Po:Madhapur, Angul, Odisha, 759125",420.0,759125.0,21.102538,84.9536825,0,,
20553,"Sdh, Athamallik","Athamallik, Angul, Odisha, 759125",420.0,759125.0,21.102538,84.9536825,0,,
20554,Chc R.K.Nagar,"At/Po:R.K.Nagar, Angul, Odisha, 759126",420.0,759126.0,21.102538,84.9536825,0,,
20555,Chc Banarpal,"At/Po:Banarpal, Angul, Odisha, 759128",420.0,759128.0,21.102538,84.9536825,0,,
20556,Chc Kosola,"At/Po:Kosola,Ps:Chhendipada, Angul, Odisha, 759130",420.0,759130.0,21.102538,84.9536825,0,,
20557,Binayak Hospital,"Soutav Vihar, Balangir, Odisha, 767001",429.0,767001.0,20.6095183,83.1673029,0,,
20558,Harihar Hospital,"At-Sudpada, Hospital Chowk, Balangir, Odisha, 767001",429.0,767001.0,20.6095183,83.1673029,0,,
20559,S.C.D. Eye Hospital,"Titilagarh, Balangir, Odisha, 767001",429.0,767001.0,20.6095183,83.1673029,0,,
20560,Samaleswari Hospital,"Khandapali Road, Talpali, Balangir, Odisha, 767001",429.0,767001.0,20.6095183,83.1673029,0,,
20561,Chc Agalpur,"At/Po-Agalpur, Balangir, Odisha, 767002",429.0,767002.0,20.6095183,83.1673029,0,,
