district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
71,GURDASPUR,25,31.9037264,75.2275587,2298323,1212617,1085706,253579,139261,114318
72,KAPURTHALA ,25,31.3856476,75.3053304,815168,426311,388857,86025,45973,40052
73,JALANDHAR,25,31.2922312,75.5678878,2193590,1145211,1048379,226302,120740,105562
74,HOSHIARPUR,25,31.6092942,75.8459754,1586625,809057,777568,168331,90280,78051
75,SHAHID BHAGAT SINGH NAGAR ,25,16.6938272,74.4615881,612310,313291,299019,62719,33278,29441
76,FATEHGARH SAHIB,25,30.6634042,76.3803,600163,320795,279368,63271,34340,28931
77,LUDHIANA,25,30.9090157,75.851601,3498739,1867816,1630923,384114,206502,177612
78,MOGA,25,30.7877554,75.159359,995746,525920,469826,107336,57694,49642
79,FIROZPUR,25,30.8753832,74.6525438,2029074,1071637,957437,248103,134319,113784
80,MUKTSAR,25,30.4692,74.5182,901896,475622,426274,104419,57020,47399
81,FARIDKOT,25,30.6014507,74.7950176,617508,326671,290837,69311,37454,31857
82,BATHINDA,25,30.1794814,75.0471098,1388525,743197,645328,151145,81533,69612
83,MANSA,25,29.8764133,75.4889564,769751,408732,361019,84763,46177,38586
84,PATIALA,25,30.2092778,76.3397231,1895686,1002522,893164,212892,115917,96975
85,AMRITSAR ,25,31.6356659,74.8787496,2490656,1318408,1172248,281795,154351,127444
86,TARN TARAN,25,31.3212453,74.8416687,1119627,589369,530258,137223,75382,61841
87,RUPNAGAR,25,31.0917102,76.5289701,684627,357485,327142,72926,39152,33774
88,SAHIBZADA AJIT SINGH NAGAR,25,30.7041168,76.7176885,994628,529253,465375,115644,62808,52836
89,SANGRUR,25,30.135717,75.8533326,1655169,878029,777140,181334,98547,82787
90,BARNALA,25,30.3716802,75.5039887,595527,317522,278005,64987,35266,29721
