district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
136,GANGANAGAR ,26,23.7497214,91.876635,1969168,1043340,925828,255475,137768,117707
137,HANUMANGARH,26,29.3659533,74.298429,1774692,931184,843508,234226,124740,109486
138,BIKANER,26,28.0159286,73.3171367,2363937,1240801,1123136,400554,209952,190602
139,CHURU,26,28.2047781,74.6912996,2039547,1051446,988101,317813,167084,150729
140,JHUNJHUNUN,26,28.1070891,75.3900287,2137045,1095896,1041149,288470,157062,131408
141,ALWAR,26,27.4140048,76.6170387,3674179,1939026,1735153,587959,315270,272689
142,BHARATPUR,26,27.0246959,77.2920116,2548462,1355726,1192736,436165,233323,202842
143,DHAULPUR,26,26.6530331,77.6241037,1206516,653647,552869,217613,117198,100415
144,KARAULI,26,26.4530971,77.0160461,1458248,783639,674609,241357,130294,111063
145,SAWAI MADHOPUR,26,26.1137182,76.4240637,1335551,704031,631520,201188,107557,93631
146,DAUSA,26,26.8048658,76.4437457,1634409,857787,776622,258144,138400,119744
147,JAIPUR,26,26.9154576,75.8189817,6626178,3468507,3157671,929926,499619,430307
148,SIKAR,26,27.6625058,75.0279905,2677333,1374990,1302343,379874,205589,174285
149,NAGAUR,26,26.9873443,73.7389011,3307743,1696325,1611418,507176,267391,239785
150,JODHPUR,26,26.2967719,73.0351433,3687165,1923928,1763237,606490,320731,285759
151,JAISALMER,26,26.9116615,70.9124888,669919,361708,308211,130463,69610,60853
152,BARMER,26,25.5814853,71.1924922,2603751,1369022,1234729,501522,263356,238166
153,JALOR,26,25.3476006,72.6260916,1828730,936634,892096,316455,166999,149456
154,SIROHI,26,24.8114047,72.8300257,1036346,534231,502115,173364,91370,81994
155,PALI,26,25.455221,73.419389,2037573,1025422,1012151,297434,156606,140828
156,AJMER,26,26.4691,74.639,2583052,1324085,1258967,381167,200511,180656
157,TONK,26,26.122266,75.8238631,1421326,728136,693190,204038,107868,96170
158,BUNDI,26,25.4367659,75.7361471,1110906,577160,533746,159884,84431,75453
159,BHILWARA,26,25.4891177,74.3300726,2408523,1220736,1187787,361683,187617,174066
160,RAJSAMAND,26,25.2892459,73.8241077,1156597,581339,575258,176041,92527,83514
161,DUNGARPUR,26,23.8538893,73.7087177,1388552,696532,692020,242239,126008,116231
162,BANSWARA,26,23.4915046,74.3502172,1797485,907754,889731,325283,168225,157058
163,CHITTAURGARH,26,24.5,74.5,1544338,783171,761167,212507,111120,101387
164,KOTA,26,25.1737019,75.8574194,1951014,1021161,929853,255056,134341,120715
165,BARAN,26,24.9208165,76.6821985,1222755,633945,588810,182665,95542,87123
166,JHALAWAR,26,24.3132368,76.5221078,1411129,725143,685986,208205,108890,99315
167,UDAIPUR,26,24.578721,73.6862571,3068420,1566801,1501619,508550,264321,244229
168,PRATAPGARH,26,25.75,81.75,867848,437744,430104,150518,77856,72662
