hospital_id,hospital_name,address,district_id,pincode,latitude,longitude,mco_contact_number,total_beds,hospital_type
22510,Ajmer Hospital,"158/10,Civil Lines, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22511,Bharat Hospital,"14 Shastri Nagar, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22512,Choudhary Hospital and Research Center,"Army Circular Road, Behind Road Ways Bus Stand, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22513,Deepmala Pagarani Hospital and Research Centre,"76- A, Inside Swami Madhav Dwar, Adarsh Nagar, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22514,Dhapi Bai Ramniwas Heda Hospital,,156.0,305001.0,26.4691,74.639,0,,
22515,Diksha Nursing Home,"Junia Gate Kekari, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22516,Divya Alok Hospital,,156.0,305001.0,26.4691,74.639,0,,
22517,Dr. Khunger Eye Care and Research Centre Pvt Ltd,"109, Near Post Office,Opposite P.N.B Ramganj,Beawar Road, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22518,Dr. Nandlal Hospital And Research Centre,"B-34, Near Badhir Vidhyalaly, Vaishali Nagar, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22519,Dr.Ashok Mittal Hospital,"Near Mansing Hotel Vaishali Nagar Main Road, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22520,Dr.Kshetrapal Eye Hospital and Lasik Laser Centre,"Kutchery Road, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22521,Dr.M.K Sarda Memorial Hospital,"Sarda Bhawan,Near Dolat Bagh, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22522,Forwal Nursing Home,"Beawar Road,Ramganj, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22523,Gheesi Bai Memorial Mittal Hospital and Research Center,"Pushkar Road, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22524,Gupta Nursing Home,"172/3 Gokale Marg, Near State Bank Colony, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22525,"J.L.N.Medical CollegeandHospital,Ajmer","J.L.N.Medical College & Hospital, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22526,Jawahar Lal Nehru Hospital,"Ajmer, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22527,Jeevan Jyoti Hospital and Maternity Home,"Ramganj, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22528,K S Hospital,"Pancholi Churaha, Ram Nagar, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22529,Kamlesh Memorial Hospital,"Sri Nagar Road, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22530,Krishna Hospital,"Kundlav Colony,Sagar Road, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22531,Mavens Hospital,"N-37, Opposite Rerliance Fresh, Vaishali Nagar, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22532,Mayani Hospital,"Sindhuwadi, Asha Ganj, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22533,Mittal Hospital And Research Centre,"Pushkar Road, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22534,Modicare Relief Society Rajkiya Amrutkaur Hospital,,156.0,305001.0,26.4691,74.639,0,,
22535,Navjeevan Hospital And Research Centre,,156.0,305001.0,26.4691,74.639,0,,
22536,Neha Clinic and Nursing Home,"Opp S D Govt College, College Road, Beawar, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22537,Pratap Memorial Hospital And Research Centre,"Kutcheri Road,M.G. Road, OppositeRdsc Building, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22538,R.K. Hospital (Ram Krishna Hospital ),"Ward 34, Vaisali Nagar,Near Power House, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22539,Satellite District Hospital,,156.0,305001.0,26.4691,74.639,0,,
22540,Sewa Mandir Polyclinic,"3-A, Mayur Colony, Alwar Gate, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22541,Shanti Nursing Home,"Patwargali Nadi Mohalla, Ajmer, Rajasthan, 305001",156.0,305001.0,26.4691,74.639,0,,
22542,Shree Vinayak Dental Clinic,,156.0,305001.0,26.4691,74.639,0,,
