district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
609,THIRUVALLUR,28,13.2537619,80.0562572,3728104,1876062,1852042,405669,208449,197220
610,CHENNAI,28,13.0836939,80.270186,4646732,2335844,2310888,459324,235519,223805
611,KANCHEEPURAM,28,12.8796051,79.7042762,3998252,2012958,1985294,431574,220341,211233
612,VELLORE,28,12.9021849,79.061104,3936331,1961688,1974643,432550,222460,210090
613,TIRUVANNAMALAI,28,12.4289282,78.99915,2464875,1235889,1228986,272569,141205,131364
614,VILUPPURAM,28,12.1166966,79.5989236,3458873,1740819,1718054,404106,208246,195860
615,SALEM,28,44.9391565,-123.033121,3482056,1781571,1700485,344960,180002,164958
616,NAMAKKAL   ,28,11.3033889,78.118604,1726601,869280,857321,150699,78754,71945
617,ERODE,28,11.4905281,77.3505274,2251744,1129868,1121876,195213,99943,95270
618,THE NILGIRIS,28,11.4,76.7,735394,360143,375251,66799,33648,33151
619,DINDIGUL,28,10.4256897,77.815664,2159775,1080938,1078837,216576,111955,104621
620,KARUR ,28,10.8217671,78.3828654,1064493,528184,536309,102731,52969,49762
621,TIRUCHIRAPPALLI,28,10.8071144,78.6880939,2722290,1352284,1370006,272456,139946,132510
622,PERAMBALUR  ,28,11.2902641,78.9300404,565223,282157,283066,59567,31135,28432
623,ARIYALUR  ,28,11.1530559,79.2585797,754894,374703,380191,81187,42808,38379
624,CUDDALORE,28,11.520207,79.3396356,2605914,1311697,1294217,279950,147644,132306
625,NAGAPATTINAM  ,28,10.6026202,79.7619348,1616450,798127,818323,165245,84335,80910
626,THIRUVARUR,28,10.6878621,79.4979437,1264277,626693,637584,121973,62280,59693
627,THANJAVUR,28,10.659037,79.2014278,2405890,1182416,1223474,238598,121949,116649
628,PUDUKKOTTAI,28,10.2903072,78.8173617,1618345,803188,815157,179688,91696,87992
629,SIVAGANGA,28,9.8486881,78.4870461,1339101,668672,670429,137235,70022,67213
630,MADURAI,28,9.9261153,78.1140983,3038252,1526475,1511777,313978,162517,151461
631,THENI  ,28,9.8692558,77.4222974,1245899,625683,620216,119661,61873,57788
632,VIRUDHUNAGAR,28,9.4926289,77.8631831,1942288,967709,974579,197134,100827,96307
633,RAMANATHAPURAM,28,9.5205576,78.5184635,1353445,682658,670787,140644,71705,68939
634,THOOTHUKKUDI,28,8.7567452,78.0797527,1750176,865021,885155,183763,93605,90158
635,TIRUNELVELI ,28,8.7284271,77.7112925,3077233,1520912,1556321,321687,164157,157530
636,KANNIYAKUMARI,28,8.3279814,77.3541173,1870374,926345,944029,182350,92835,89515
637,DHARMAPURI,28,12.145613,78.1132217,1506843,774303,732540,167940,87777,80163
638,KRISHNAGIRI,28,12.5152075,78.0093769,1879809,960232,919577,217323,112832,104491
639,COIMBATORE,28,11.0018115,76.9628425,3458045,1729297,1728748,319332,163230,156102
640,TIRUPPUR,28,10.7915267,77.5325466,2479052,1246159,1232893,241351,123612,117739
