district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
92,UTTARKASHI,35,30.9635733,78.6362521,330086,168597,161489,46307,24165,22142
93,CHAMOLI,35,30.4985956,79.6190537,391605,193991,197614,52161,27609,24552
94,RUDRAPRAYAG,35,30.4915835,79.0366067,242285,114589,127696,32046,16823,15223
95,TEHRI GARHWAL,35,30.4658181,78.4837349,618931,297986,320945,84657,44634,40023
96,DEHRADUN,35,30.3255646,78.0436813,1696694,892199,804495,201652,106746,94906
97,GARHWAL,35,30.25,79.333333,687271,326829,360442,83901,44055,39846
98,PITHORAGARH,35,29.585871,80.215167,483439,239306,244133,63293,34853,28440
99,BAGESHWAR,35,30.0087902,79.9280183,259898,124326,135572,35560,18679,16881
100,ALMORA,35,29.7026509,79.4326318,622506,291081,331425,80082,41672,38410
101,CHAMPAWAT,35,29.235032,80.1023068,259648,131125,128523,37028,19766,17262
102,NAINITAL,35,29.3905295,79.460869,954605,493666,460939,124272,65337,58935
103,UDHAM SINGH NAGAR,35,29.0478313,79.4326164,1648902,858783,790119,229162,120687,108475
104,HARDWAR,35,29.9384473,78.1452985,1890422,1005295,885127,285693,152173,133520
