hospital_id,hospital_name,address,district_id,pincode,latitude,longitude,mco_contact_number,total_beds,hospital_type
30494,Singhal Maternity and Nursing Home,"Near Police Station , Ramanagar(Nainital), Almora, Uttarakhand, 244715",100.0,244715.0,29.7026509,79.4326318,0,,
30495,Aarohi Arogya Kendra,"Village- Satoli, P.O. Peora, Nainital, Almora, Uttarakhand, 263138",100.0,263138.0,29.7026509,79.4326318,0,,
30496,Anjali Hospital,"Rain Basera Near Sbi Mall Road, Almora, Uttarakhand, 263601",100.0,263601.0,29.7026509,79.4326318,0,,
30497,Base Hospital,"Base Hospital, G.T.C.Hospital, Almora, Uttarakhand, 263601",100.0,263601.0,29.7026509,79.4326318,0,,
30498,Combined Hospital,"Combined Hospital, Rudrapur Almoda ,Ramnagar, Almora, Uttarakhand, 263601",100.0,263601.0,29.7026509,79.4326318,0,,
30499,Dena Hospital,"Deena Pani, Almora, Uttarakhand, 263601",100.0,263601.0,29.7026509,79.4326318,0,,
30500,District Female Hospital,"Victor Mohan Joshi Government Female Hospital, Almora, Uttarakhand, 263601",100.0,263601.0,29.7026509,79.4326318,0,,
30501,Goberdhan Tiwari Govt Base Hospital,"Goberdhan Tiwari Govt Base Hospital, Almora, Uttarakhand, 263601",100.0,263601.0,29.7026509,79.4326318,0,,
30502,Gurukripahospital,"Gurukripahospital Mahakal,Sangli, Almora, Uttarakhand, 263601",100.0,263601.0,29.7026509,79.4326318,0,,
30503,Jeevan Jyoti Hospital,"Mall Road , Near State Bank, Almora, Uttarakhand, 263601",100.0,263601.0,29.7026509,79.4326318,0,,
30504,"M.N Srivastava Hospital Pvt. Ltd,","Kalika State Sadar Bazar Ranikhet, Almora, Uttarakhand, 263601",100.0,263601.0,29.7026509,79.4326318,0,,
30505,Madhavi Hospital,"Ranikhet Road Dawarahaat, Almora, Uttarakhand, 263601",100.0,263601.0,29.7026509,79.4326318,0,,
30506,Pt. Har Govind Pant District Hospital,"Pt. Har Govind Pant District Hospital, Almora, Uttarakhand, 263601",100.0,263601.0,29.7026509,79.4326318,0,,
30507,Civil Hospital,"Ranikhet , Ranikhet, Almora, Uttarakhand, 263645",100.0,263645.0,29.7026509,79.4326318,0,,
30508,Govind Singh Nehra Government Hospital.,"Govind Singh Nehra Government Hospital, Ranikhet, Almora, Uttarakhand, 263645",100.0,263645.0,29.7026509,79.4326318,0,,
30509,S.N. Hospital and Heart Centre,"Near Roadways Station , Ranikhet, Almora, Uttarakhand, 263645",100.0,263645.0,29.7026509,79.4326318,0,,
30510,M N Srivastava Hospital,"Kalika Estate,Rajpur Colony\n Dehradun, Almora, Uttarakhand, 263652",100.0,263652.0,29.7026509,79.4326318,0,,
30511,"Chc, Daurahat","Chc Daurahat, Almora, Uttarakhand, 263653",100.0,263653.0,29.7026509,79.4326318,0,,
30512,"Chc, Chakotiya.","Chc Chakotiya, Tehsil Chakotiya, Almora, Uttarakhand, 263656",100.0,263656.0,29.7026509,79.4326318,0,,
30513,"Chc, Bhikiyasen","Chc, Bhikiyasen, Almora, Uttarakhand, 263667",100.0,263667.0,29.7026509,79.4326318,0,,
30514,"Chc, Baijnath","Community Health Center, Baijnath, Bageshwar, Uttarakhand, 263641",99.0,263641.0,30.0087902,79.9280183,0,,
30515,Shyam Lal Shah District Hospital,"Near Jila Panchayat Karyalaya, Bageshwar, Uttarakhand, 263642",99.0,263642.0,30.0087902,79.9280183,0,,
30516,"Chc, Kapkot","Community Health Center, Kapkot, Bageshwar, Uttarakhand, 263679",99.0,263679.0,30.0087902,79.9280183,0,,
30517,"Disrict Hospital-Gopeshwar, Chamoli","District Hospital Gopeshwar, Chamoli, Uttarakhand, 246401",93.0,246401.0,30.4985956,79.6190537,0,,
30518,Chc Giarsain,"Pwd Guest House Road, Gairsain, Chamoli, Uttarakhand, 246428",93.0,246428.0,30.4985956,79.6190537,0,,
30519,Chc Karanprayag,"Chc Karanprayag Chamoli ( U.A), Chamoli, Uttarakhand, 246444",93.0,246444.0,30.4985956,79.6190537,0,,
30520,Primary Health Cetre,"Karanprayag, Chamoli, Uttarakhand, 246444",93.0,246444.0,30.4985956,79.6190537,0,,
30521,Chc Pokhri Nagnath,"Chc Pokhri Nagnath, Chamoli, Uttarakhand, 246473",93.0,246473.0,30.4985956,79.6190537,0,,
30522,Chc Tharali,"Chc Tharali, Chamoli, Uttarakhand, 246481",93.0,246481.0,30.4985956,79.6190537,0,,
30523,Cobined Hospital,"Tanakpur, Champawat, Uttarakhand, 262309",101.0,262309.0,29.235032,80.1023068,0,,
30524,Om Hospital,"Station Road, Tanakpur, Champawat, Uttarakhand, 262310",101.0,262310.0,29.235032,80.1023068,0,,
30525,"Chc, Champawat",,101.0,262523.0,29.235032,80.1023068,0,,
30526,Karnatk Hospital,"Karnatk Hospital, Champawat, Uttarakhand, 262523",101.0,262523.0,29.235032,80.1023068,0,,
30527,"Chc, Lohaghat","Po.: - Lohaghat, Champawat, Uttarakhand, 262524",101.0,262524.0,29.235032,80.1023068,0,,
30528,Aadya Nursing Home,"35/1, Ec Road, (Rawal Nursing Home), Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30529,Amritsar Eye Clinic,"122/1 East Canal Road,Dalanwaal, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30530,Ananda Hospital,"11/1,  Shastri Nagar, Ajabpur Kalan, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30531,Archana Hospital,"123-A, Mahindra Vihar, Behind Hotel Surbhi Palace,Ballupur, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30532,Asha Nursing Home,"142, Badripur Road, Jogiwala Chauk, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30533,Ashadeep Hospital,"Saharanpur Chowk, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30534,Ashirwad Hospital,"No. 1 Ashirwad Enclave Ballupur, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30535,Astha Hospital,"2/1 Ballupur Chowk, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30536,Ayurmax Multispeciality Hospital,"82, Vivek Vihar , Kanwali Road , Baliwala Chowk, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30537,Baunthiyal Nursing Home,"Turner Road, Clement Town, Dehra Dun, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30538,Bhandari Hospital,"Pahari Gali, Vikasnagar, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30539,Bharat Heart Institute,"55, East Cannal Road, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30540,Bhartari Nursing Home,"62/57, Ballupur Road, Opposite Akash Deep Colony, Chakrata Road, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30541,Bhumi Superspeciality Centre,"17 Race Course , Near Pnjab National Bank, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30542,Bombey Dental Clinic,"Luxmanpur Chauk,Vikasnagar, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30543,Chandra Hospital,"30,Kaulagarh Road Rajendra Nagar, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30544,Chaurasia Nursing Home,"31/2-1, East Canal Road, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30545,City Heart and Medical Centre,"19, Cross Road, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30546,City Hospital,"1, Chakrata Road, Bindal Bridge, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30547,Combined Medical Institute,"54, Haridwar Road, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30548,Dev Nursing Home,"Near B.S M College , D. Dum Road Roorkee, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30549,District Women Hospital-Dehradun,"35, Gandhi Road Dehradun\n 0, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30550,Doon Eye Care,"Bhandari Hospital, Vikas Nagar, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30551,Doon Hospital,"Near Mkp Inter College, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30552,Doon Hospital - Dehradoon,"41-A, Rajpura Road, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30553,Doon Netralaya,"29-A E.C Road, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30554,Doon Trauma Centre,"Campus Jankalyn Hospital4, Old Survey Road, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30555,Doon Valley Hospital,"55, Hardwar Road, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30556,Dr. Kamras Urinary and Surgical Diseases Centre,"8, Inder Road, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30557,Dr. Rajesh Tewari,"43, Tagoare Villa, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30558,Dr. Rukmani Nursing Home,"11/9 Rajpur Road, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30559,Dr.Anand Bohra Hospita,"197,Haridwar Road,Near Rishpna Bridge, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30560,Dr.Dhami Dental Care,"Shyyed Road,Luxmanpur Chowk,Vikasnagar, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30561,Drishti Eye Centre,"No. 9B, Astley Hall Dehradun & 58 Chakrata Road,Opposite Doon School, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30562,Fortis Escorts Hospital,"Ii Nd Floor, Dalanwala,Curzon Road, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30563,Gangotri Hospital,"Majhri Grant, Haridwar Road, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30564,Garg Ear Nose Throat Hospital,"1 Darshani Gate, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30565,Girdhari Lal Raturi Hospital,"Astley Hall,Rajpur Road\n0, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30566,Govind Hospital,"Jogiwala,Haridwar Road, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30567,Guru Teg Bahadur Sahib Hospital,"Govind Nagar,Race Course, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30568,Hari Ram Kohli Nursing Home,"2, Haridwar Road Dehradun, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30569,Healing Touch,"17, New Sahastradhara Road, Dehra Dun, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30570,Herbertpur Christian Hospital,"Herbertpur, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30571,Jan Kalyan Hospital And Research Insititute,"4,Old Survey Road, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30572,Jeevan Jyoti Clinic,"Daulatram Enclave Turner Road, Clement Town , D. Dun, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30573,Kala E.N.T And Laser Centre,"5, New Road, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30574,Kamra`S Urinary and Surgical Diseasea Centre,"8 Inder Road, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30575,Kanishk Surgical and Super Speciality Hospital,"Between Rispana Bridge & Railway Crossing , Main Haridwar Bypass Road, Near Home Guard Office, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30576,Kiranti Nursing and Maternity Home,"2, Ballupur Road Kishan Nagar Chowk Dehhra Dun, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30577,Krishna Medical Centre,"22, Inder Road, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30578,Krishna Sergical Centre,"Sayed Road Vikasnagar, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30579,M. K. Surgical Hospital and Urology Centre,"8, Convent Road, D, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30580,Mahavir Hospital,"Basantpur, Vikasnagar, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30581,Mahila Chikitsalay,"Tahsil Chowk, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30582,Manya Dental Clinic,"Uttranchal Complex,Vidhansabha Chowk, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30583,Max Super Specialty Hospital - Dehradun,"Khasra No. 165, Mussoorie Diversion Road, Malsi,Near Indian Oil Petrol Pump, Near Indian Oil Petrol Pump, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30584,Minocha Hospital and Maternity Home,"Near Hilton School, Saharanpur Road, Majra Dehradun, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30585,Navjyoti Eye Hospital and Dehradun Wave Lasik Center,"Nehru Colony , Haridwar Road(Near Lic Div.), Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30586,Negi Surgical Centre,"57B Araghar,Haridwar Road,Dharmpur Dehradun, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30587,New Disha Hospital,"119/2,Rajpur Road,Jakhan, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30588,Nisha Nuesing Home,"7,Indira Nagar Colony, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30589,Ogeasvi Hospital,"Ladpur , Near Ladpur Road , Telephone Exechange ) Raipur Raod, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
30590,Oli Eye Hospital,"Araghar Chowk, 57, Hardwar Road, Dehradun, Uttarakhand, 248001",96.0,248001.0,30.3255646,78.0436813,0,,
