district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
363,DARJILING ,36,26.75,88.25,1846823,937259,909564,193169,98933,94236
364,JALPAIGURI ,36,26.6262805,88.7334485,3872846,1983064,1889782,461700,236117,225583
365,KOCH BIHAR ,36,26.3223696,89.4592445,2819086,1451542,1367544,344645,176940,167705
366,UTTAR DINAJPUR,36,25.8721428,87.961986,3007134,1551066,1456068,485157,248402,236755
367,DAKSHIN DINAJPUR,36,25.385807,88.5063362,1676276,857199,819077,188135,96143,91992
368,MALDAH ,36,25.0977097,88.1261713,3988845,2051541,1937304,609040,312340,296700
369,MURSHIDABAD ,36,24.1745993,88.2721335,7103807,3627564,3476243,1013392,514876,498516
370,BIRBHUM,36,24.0621532,87.6982823,3502404,1790920,1711484,448485,228909,219576
371,BARDDHAMAN ,36,23.25,87.75,7717563,3966889,3750674,832033,426385,405648
372,NADIA ,36,23.4847374,88.5567067,5167600,2653768,2513832,525180,267954,257226
373,NORTH TWENTY FOUR PARGANAS,36,22.5,88.666667,10009781,5119389,4890392,957973,489824,468149
374,HUGLI ,36,22.7483803,88.7425195,5519145,2814653,2704492,533210,273116,260094
375,BANKURA ,36,23.132377,87.2081925,3596674,1838095,1758579,418650,214846,203804
376,PURULIYA,36,23.333333,86.416667,2930115,1496996,1433119,410227,210003,200224
377,HAORA ,36,22.5736296,88.3251045,4850029,2500819,2349210,522802,266472,256330
378,KOLKATA,36,22.5726459,88.3638953,4496694,2356766,2139928,339323,175564,163759
379,SOUTH TWENTY FOUR PARGANAS,36,,,8161961,4173778,3988183,1025679,522552,503127
380,PASCHIM MEDINIPUR,36,22.3600119,87.4111505,5913457,3007885,2905572,685012,349031,335981
381,PURBA MEDINIPUR,36,22.0648451,87.8377586,5095875,2629834,2466041,587654,301989,285665
