district_id,district,state_id,latitude,longitude,total_persons,total_males,total_females,children_persons,children_males,children_females
1,AHILYANAGAR,18,19.2654346932078,74.6375763122892,4543159,2342825,2200334,556014,300238,255776
2,AKOLA,18,20.7651377826271,77.0547006588983,1813906,932334,881572,211080,110372,100708
3,AMRAVATI,18,21.1285804861538,77.6482068986813,2888445,1480768,1407677,311391,160934,150457
4,CHHATRAPATI SAMBHAJINAGAR,18,19.9448473116719,75.419259640694,3701282,1924469,1776813,532659,286721,245938
5,BHANDARA,18,21.1797232710145,79.2525156478261,1200334,605520,594814,126025,64626,61399
6,BEED,18,18.9572245481818,75.6257256942424,2585049,1349106,1235943,352890,195245,157645
7,BULDHANA,18,20.4893464167139,76.1961122912181,2586258,1337560,1248698,332125,179072,153053
8,CHANDRAPUR,18,20.6804308472866,78.5671384604268,2204307,1123834,1080473,231316,118471,112845
9,DHULE,18,21.0900428988889,74.4804709159259,2050862,1054031,996831,273507,144121,129386
10,GADCHIROLI,18,20.6363935764706,79.4252869676471,1072942,541328,531614,120272,61320,58952
11,GONDIYA,18,21.3024988257485,79.9048506275449,1322507,661554,660953,140365,71764,68601
12,HINGOLI,18,71.4115250958678,24.734457253719,1177345,606294,571051,165716,88052,77664
13,JALGAON,18,20.7613414018293,74.8458392408537,4229917,2197365,2032552,532005,288827,243178
14,JALNA,18,31.7993720914773,64.0070657045455,1959046,1011473,947573,287338,153642,133696
15,KOLHAPUR,18,16.6063003989474,74.3037623587369,3876001,1980658,1895343,408942,219521,189421
16,LATUR,18,18.348556125614,76.4976240592983,3876001,1980658,1895343,408942,219521,189421
17,MUMBAI,18,19.4460406491228,72.3637366491228,3085411,1684608,1400803,272886,142566,130320
18,MUMBAI SUBURBAN,18,19.1187833083333,72.8739368866667,9356962,5031323,4325639,930884,486696,444188
19,NAGPUR,18,21.4147079722699,78.840958181319,4653570,2384975,2268595,497087,257438,239649
20,NANDED,18,19.1999231275958,77.392723572,3361292,1730075,1631217,459572,240620,218952
21,NANDURBAR,18,21.4535269880597,74.2817391338309,1648295,833170,815125,240222,123582,116640
22,NASHIK,18,20.2191829388393,74.0688345278274,6107187,3157186,2950001,827935,438050,389885
23,DHARASHIV,18,18.2695094265734,76.1078958524475,1657576,861535,796041,207096,110919,96177
24,PARBHANI,18,71.4645372336898,24.4072997406417,1836086,942870,893216,257320,136605,120715
25,PUNE,18,18.5657810507623,73.8940925576873,9429408,4924105,4505303,1104959,586665,518294
26,RAIGAD,18,18.4813917022573,73.2091880097066,2634200,1344345,1289855,300815,155437,145378
27,RATNAGIRI,18,17.2789550927602,73.3632406597285,1615069,761121,853948,155560,80333,75227
28,SANGLI,18,17.2395655882775,74.4312595727273,2822143,1435728,1386415,306777,164355,142422
29,SATARA,18,17.6603199062969,74.1492563043478,3003741,1510842,1492899,317885,167729,150156
30,SINDHUDURG,18,16.1294571857143,73.6849549913747,849651,417332,432319,71193,37034,34159
31,SOLAPUR,18,19.0195094475655,74.2110501670412,4317756,2227852,2089904,538453,285879,252574
32,WARDHA,18,20.7397739198895,78.511073639779,1300774,668385,632389,128901,67187,61714
33,WASHIM,18,20.2189098914634,77.1791334682927,1197160,620302,576858,152190,81686,70504
34,YAVATMAL,18,20.1462651704595,78.0735838894054,2772348,1419965,1352383,330180,171782,158398
35,THANE,18,19.2951125357143,73.0196299080952,8070032,4319299,3750733,923541,482689,440852
36,PALGHAR,18,19.7222052478261,72.7479302526087,2811746,1453789,1357957,379485,194652,184833
533,BULDANA,18,20.562845,76.4086986,2586258,1337560,1248698,332125,179072,153053
534,AURANGABAD,18,19.877263,75.3390241,3701282,1924469,1776813,532659,286721,245938
535,RAIGARH,18,22.2361795,83.3529534,2634200,1344345,1289855,300815,155437,145378
536,AHMADNAGAR,18,23.6816376,77.7069012,4543159,2342825,2200334,556014,300238,255776
537,BID,18,38.8993969,-77.0305122,2585049,1349106,1235943,352890,195245,157645
538,OSMANABAD,18,18.2822454,76.0588166,1657576,861535,796041,207096,110919,96177
